host_timestamp_s,monotonic_s,fields_json
1783441195.777122,607850.015000,"{""t_ms"":126720,""hwm"":256,""cap"":256,""dropped"":164,""dropped_total"":17309,""crc_err"":0,""crc_err_total"":0,""rate1"":439,""rate2"":415,""prod1"":450,""prod2"":417,""sma_state"":0,""m7_us"":129266722,""m4_us"":126699160,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441196.903099,607851.140000,"{""t_ms"":127770,""hwm"":256,""cap"":256,""dropped"":165,""dropped_total"":17474,""crc_err"":0,""crc_err_total"":0,""rate1"":434,""rate2"":419,""prod1"":440,""prod2"":425,""sma_state"":0,""m7_us"":130354308,""m4_us"":127784596,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441197.984609,607852.218000,"{""t_ms"":128823,""hwm"":256,""cap"":256,""dropped"":168,""dropped_total"":17642,""crc_err"":0,""crc_err_total"":0,""rate1"":425,""rate2"":425,""prod1"":433,""prod2"":430,""sma_state"":0,""m7_us"":131444608,""m4_us"":128871041,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441199.145739,607853.375000,"{""t_ms"":129872,""hwm"":256,""cap"":256,""dropped"":164,""dropped_total"":17806,""crc_err"":0,""crc_err_total"":0,""rate1"":424,""rate2"":429,""prod1"":421,""prod2"":446,""sma_state"":0,""m7_us"":132531995,""m4_us"":129961613,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441200.275286,607854.500000,"{""t_ms"":130922,""hwm"":256,""cap"":256,""dropped"":165,""dropped_total"":17971,""crc_err"":0,""crc_err_total"":0,""rate1"":434,""rate2"":419,""prod1"":436,""prod2"":430,""sma_state"":0,""m7_us"":133618958,""m4_us"":131053163,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441201.446815,607855.671000,"{""t_ms"":131974,""hwm"":256,""cap"":256,""dropped"":167,""dropped_total"":18138,""crc_err"":0,""crc_err_total"":0,""rate1"":426,""rate2"":424,""prod1"":437,""prod2"":427,""sma_state"":0,""m7_us"":134708632,""m4_us"":132141653,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441202.592761,607856.828000,"{""t_ms"":133021,""hwm"":256,""cap"":256,""dropped"":163,""dropped_total"":18301,""crc_err"":0,""crc_err_total"":0,""rate1"":440,""rate2"":415,""prod1"":445,""prod2"":424,""sma_state"":0,""m7_us"":135794145,""m4_us"":133227121,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441203.755755,607857.984000,"{""t_ms"":134073,""hwm"":256,""cap"":256,""dropped"":166,""dropped_total"":18467,""crc_err"":0,""crc_err_total"":0,""rate1"":427,""rate2"":423,""prod1"":432,""prod2"":432,""sma_state"":0,""m7_us"":136883013,""m4_us"":134310520,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441205.033141,607859.265000,"{""t_ms"":135123,""hwm"":256,""cap"":256,""dropped"":166,""dropped_total"":18633,""crc_err"":0,""crc_err_total"":0,""rate1"":431,""rate2"":421,""prod1"":442,""prod2"":423,""sma_state"":0,""m7_us"":137970780,""m4_us"":135399988,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783441206.361437,607860.593000,"{""t_ms"":136171,""hwm"":256,""cap"":256,""dropped"":163,""dropped_total"":18796,""crc_err"":0,""crc_err_total"":0,""rate1"":441,""rate2"":413,""prod1"":437,""prod2"":430,""sma_state"":0,""m7_us"":139056672,""m4_us"":136485470,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
