host_timestamp_s,monotonic_s,fields_json
1784158821.359247,68700.500000,"{""t_ms"":1451173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1503994414,""m4_us"":1503349745,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3883,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158822.394912,68701.546000,"{""t_ms"":1452173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1505030816,""m4_us"":1504386145,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3748,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158823.431872,68702.578000,"{""t_ms"":1453173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1506067206,""m4_us"":1505422536,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":146,""loop_us_max"":3704,""loop_hz"":6849,""cycle_log_ms"":1,""n_cycle"":4}"
1784158824.468798,68703.609000,"{""t_ms"":1454173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1507103578,""m4_us"":1506458920,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3603,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158825.508293,68704.656000,"{""t_ms"":1455173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1508140133,""m4_us"":1507495297,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3646,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
1784158826.540152,68705.687000,"{""t_ms"":1456173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1509176366,""m4_us"":1508531681,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":146,""loop_us_max"":3844,""loop_hz"":6849,""cycle_log_ms"":1,""n_cycle"":4}"
1784158827.577248,68706.718000,"{""t_ms"":1457173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1510212758,""m4_us"":1509568062,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3617,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158828.613344,68707.765000,"{""t_ms"":1458173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1511249152,""m4_us"":1510604462,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":142,""loop_us_max"":3657,""loop_hz"":7042,""cycle_log_ms"":1,""n_cycle"":4}"
1784158829.649782,68708.796000,"{""t_ms"":1459173,""hwm"":4,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1512285519,""m4_us"":1511640856,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":146,""loop_us_max"":3704,""loop_hz"":6849,""cycle_log_ms"":1,""n_cycle"":4}"
1784158830.686472,68709.828000,"{""t_ms"":1460173,""hwm"":3,""cap"":256,""dropped"":0,""dropped_total"":0,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":6,""m7_us"":1513321853,""m4_us"":1512677217,""vdd"":5.5,""offset"":0.31,""aref"":3.145,""loop_us_avg"":143,""loop_us_max"":3611,""loop_hz"":6993,""cycle_log_ms"":1,""n_cycle"":4}"
