level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,sweep,run_type,i_low_mA,seeded
550,100,6,0,30.0,550.7817628865979,2.458907886597938,4.464395977294205,100.1,2.4197085,550.609,4.39460397487146,1.3323132774765,4.673340112509447,1034.530037,1034.630037,2026-07-31T19:15:51.087509+00:00,262.2499690790746,-4120.705615606976,1.8341730052910055,1.927978,0.0938049947089945,179.8056304526915,9.195788055220081,0,0,1,97,sweep_20260731_145838,map,100,1
650,100,1,1,30.0,649.05071875,2.8562477708333334,4.400654199003355,99.9,2.794844,645.611,4.328990677048564,1.8043820296839996,4.600094370782806,1089.814512,1089.914512,2026-07-31T19:16:46.500535+00:00,370.12223983570084,-4345.973419659905,1.7623387978723406,1.885664,0.1233252021276594,172.76365844911095,12.089680556470324,0,0,1,96,sweep_20260731_145838,map,100,1
650,100,2,0,30.0,657.1909690721649,2.910058670103093,4.428025957525818,101.1,2.911411,652.749,4.460230502076603,1.9004206188390003,4.69887234917904,1120.867747,1120.967747,2026-07-31T19:17:17.530904+00:00,373.9962813485713,-4212.413589701098,1.803980914893617,1.933837,0.12985608510638302,176.8458726583466,12.729908892627655,0,0,1,97,sweep_20260731_145838,map,100,1
650,100,3,0,30.0,655.6363195876289,2.887475020618557,4.4040803328813025,100.9,2.844585,642.905,4.42458061455425,1.8287979194249997,4.713815881676929,1151.920184,1152.020184,2026-07-31T19:17:48.560476+00:00,361.23008677003327,-4195.085283243236,1.8097378297872342,1.934874,0.1251361702127658,177.4102282065546,12.267211387713038,0,0,1,97,sweep_20260731_145838,map,100,1
650,100,4,0,30.0,650.7877216494845,2.8876815773195874,4.437209678757427,100.1,2.87813,639.492,4.500650516347351,1.84054110996,4.671951835162575,1182.972617,1183.072617,2026-07-31T19:18:19.590044+00:00,357.70360922440386,-4207.004899154293,1.8049115820105819,1.929587,0.12467541798941806,176.93710679341712,12.222043432584195,0,0,1,97,sweep_20260731_145838,map,100,1
650,100,5,0,30.0,650.6342315789474,2.8948470315789474,4.449269483644882,100.1,2.861141,646.774,4.423710600611651,1.850511609134,4.697494449141126,1214.025635,1214.125635,2026-07-31T19:18:50.620196+00:00,376.7894648449219,-4099.034633179221,1.8401197619047618,1.970291,0.13017123809523823,180.3885963555811,12.760803623760813,0,0,1,95,sweep_20260731_145838,map,100,1
650,100,6,0,30.0,650.9796907216495,2.887576701030928,4.435740073288429,100.2,2.843901,654.318,4.346359109790653,1.8608156145179997,4.690946852401044,1245.078324,1245.178324,2026-07-31T19:19:21.650020+00:00,374.17042957582726,-4169.8091503148635,1.8185765502645506,1.945043,0.12646644973544952,178.276695929738,12.397619886564813,0,0,1,97,sweep_20260731_145838,map,100,1
750,100,1,1,30.0,752.7025473684212,3.3163762526315783,4.405958587793021,100.4,3.368799,757.942,4.444665950692797,2.553354251658,4.615563637734142,1301.426098,1301.526098,2026-07-31T19:20:18.091593+00:00,491.41140918825477,-4357.98886035205,1.7578711322751321,1.924998,0.16712686772486784,172.32568916974606,16.383597256184526,0,0,1,95,sweep_20260731_145838,map,100,1
750,100,2,0,30.0,753.0677127659573,3.3229756595744675,4.412585486329569,100.4,3.2689695,744.0285,4.393607906148756,2.43220647363075,4.715967698469488,1332.479574,1332.579574,2026-07-31T19:20:49.122709+00:00,551.3958106499595,-4107.420201642597,1.8388699841269838,2.023524,0.18465401587301633,180.26607951523346,18.10179936346914,0,0,1,94,sweep_20260731_145838,map,100,1
750,100,3,0,30.0,750.0936413043479,3.326795934782609,4.43517415905246,100.0,3.2887649999999997,749.088,4.390358676150198,2.46357439632,4.709075305728384,1363.534102,1363.634102,2026-07-31T19:21:20.154876+00:00,512.795883877784,-4184.606714544823,1.8135868783068783,1.986623,0.17303612169312177,177.78755389705444,16.962886740983365,0,0,1,92,sweep_20260731_145838,map,100,1
