t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0.263626,0.000988,0.720732,0.169841,4.24356899,0.122409844,171,259
0.264639,0.001013,0.737169,0.174934,4.21398356,0.128955922,171,260
0.265624,0.000985,0.665208,0.128426,5.17969881,0.0854300026,171,261
0.266635,0.001011,0.659569,0.177412,3.71772484,0.117015455,171,262
0.267648,0.001013,0.779304,0.1395,5.5864086,0.108712908,181,263
0.268637,0.000989,0.714829,0.141084,5.06669077,0.100850935,190,264
0.269625,0.000988,0.669815,0.185612,3.60868371,0.124325702,190,265
0.270639,0.001014,0.660385,0.161671,4.08474618,0.106765103,186,266
0.271628,0.000989,0.708447,0.14746,4.80433338,0.104467595,191,267
0.272639,0.001011,0.71099,0.186728,3.80762392,0.132761741,191,268
0.27365,0.001011,0.661921,0.171473,3.8602054,0.11350158,181,269
0.274635,0.000985,0.725795,0.141402,5.13284819,0.102628865,190,270
0.275646,0.001011,0.65477,0.147394,4.44231108,0.0965091694,195,271
0.276659,0.001013,0.930015,0.140994,6.59613175,0.131126535,204,272
0.277678,0.001019,0.647836,0.158186,4.09540667,0.102478585,203,273
0.278653,0.000975,0.725027,0.163489,4.43471426,0.118533939,199,274
0.279646,0.000993,0.754253,0.148276,5.08681783,0.111837618,203,275
0.280635,0.000989,0.85304,0.149302,5.71352025,0.127360578,207,276
0.281647,0.001012,0.697697,0.164035,4.25334227,0.114446727,202,277
0.282653,0.001006,0.778272,0.163633,4.75620443,0.127350982,198,278
0.283662,0.001009,0.691818,0.159662,4.333016,0.110457046,195,279
0.284634,0.000972,0.641357,0.161947,3.96028948,0.103865842,191,280
0.28564,0.001006,0.744751,0.16929,4.39926162,0.126078897,183,281
0.286642,0.001002,0.741416,0.147376,5.03077842,0.109266924,188,282
0.287647,0.001005,0.729034,0.143603,5.07673238,0.10469147,195,283
0.288624,0.000977,0.696401,0.183806,3.78878274,0.128002682,195,284
0.289631,0.001007,0.84313,0.170675,4.93997363,0.143901213,186,285
0.290638,0.001007,0.816376,0.165037,4.94662409,0.134732246,180,286
0.291643,0.001005,0.657986,0.157622,4.17445534,0.103713069,178,287
0.292648,0.001005,0.750894,0.159008,4.72236617,0.119398153,176,288
0.293635,0.000987,0.676006,0.195816,3.45225109,0.132372791,176,289
0.294644,0.001009,0.670007,0.195228,3.43192063,0.130804127,176,290
0.29563,0.000986,0.723947,0.138528,5.22599763,0.10028693,186,291
0.296642,0.001012,0.726491,0.162937,4.45872331,0.118372264,181,292
0.297632,0.00099,0.732586,0.139338,5.25761817,0.102077068,191,293
0.298642,0.00101,0.723564,0.145385,4.97688207,0.105195352,198,294
0.299628,0.000986,0.702088,0.189403,3.7068473,0.132977573,198,295
0.300638,0.00101,0.906692,0.182913,4.95695768,0.165845754,198,296
0.301648,0.00101,0.701776,0.190027,3.6930331,0.133356388,198,297
0.302637,0.000989,0.673102,0.159248,4.22675324,0.107190147,195,298
0.303648,0.001011,0.760612,0.191005,3.98215754,0.145280695,195,299
0.304657,0.001009,0.730354,0.148186,4.92863023,0.108228238,200,300
0.305641,0.000984,0.851384,0.151018,5.6376326,0.128574309,203,301
0.30665,0.001009,0.749838,0.158852,4.72035605,0.119113266,201,302
0.307635,0.000985,0.690955,0.17539,3.93953475,0.121186597,201,303
0.308642,0.001007,0.661849,0.152289,4.34600661,0.100792322,203,304
0.309649,0.001007,0.713654,0.162673,4.38704641,0.116092237,199,305
0.310639,0.00099,0.773569,0.160597,4.81683344,0.124232861,196,306
0.311654,0.001015,0.726659,0.140154,5.18471824,0.101844165,206,307
0.312639,0.000985,0.77748,0.164431,4.72830549,0.127841814,200,308
0.313648,0.001009,0.700936,0.143903,4.8708922,0.100866793,208,309
0.31465,0.001002,0.737673,0.191191,3.858304,0.141036439,208,310
0.315629,0.000979,0.843922,0.185414,4.5515549,0.156474954,208,311
0.316634,0.001005,0.694626,0.191419,3.62882472,0.132964614,208,312
0.317641,0.001007,0.772825,0.159986,4.83057893,0.12364118,205,313
0.318647,0.001006,0.891719,0.157502,5.66163604,0.140447526,204,314
0.319653,0.001006,0.747654,0.165582,4.51530964,0.123798045,198,315
0.320635,0.000982,0.74228,0.155649,4.76893523,0.11553514,198,316
0.321642,0.001007,0.865349,0.161245,5.36667183,0.1395332,194,317
0.322652,0.00101,0.832596,0.162091,5.13659611,0.134956318,190,318
0.323637,0.000985,0.798307,0.149656,5.33427995,0.119471432,193,319
0.324653,0.001016,0.735777,0.150556,4.88706528,0.110775642,196,320
0.325643,0.00099,0.844905,0.159848,5.28567764,0.135056374,193,321
0.326632,0.000989,0.769034,0.163339,4.70820808,0.125613245,189,322
0.327647,0.001015,0.699953,0.144461,4.84527312,0.10111591,195,323
0.328635,0.000988,0.733761,0.181821,4.03562295,0.133413159,195,324
0.329649,0.001014,0.914994,0.179175,5.10670573,0.16394405,195,325
0.330635,0.000986,0.837875,0.135019,6.2056081,0.113129045,195,326
0.331647,0.001012,0.84193,0.189193,4.45011179,0.159287262,195,327
0.332636,0.000989,0.716989,0.146986,4.87794076,0.105387345,201,328
0.33365,0.001014,0.833748,0.155547,5.36010338,0.129687,201,329
0.33464,0.00099,0.650259,0.160148,4.06036291,0.104137678,198,330
0.335651,0.001011,0.671567,0.160334,4.18855015,0.107675023,195,331
0.33663,0.000979,0.741416,0.142139,5.2161335,0.105384129,203,332
0.337644,0.001014,0.758812,0.154095,4.92431292,0.116929135,204,333
0.338656,0.001012,0.742376,0.154239,4.81315361,0.114503332,205,334
0.339637,0.000981,0.736305,0.157136,4.68578174,0.115700022,204,335
0.340648,0.001011,0.7609,0.149314,5.09597225,0.113613023,207,336
0.341633,0.000985,0.861318,0.16007,5.38088336,0.137871172,205,337
0.342637,0.001004,0.894167,0.168078,5.31995264,0.150289801,197,338
0.343636,0.000999,0.761835,0.188989,4.03110763,0.143978435,197,339
0.344637,0.001001,0.691315,0.190609,3.62687491,0.131770861,197,340
0.345643,0.001006,0.709887,0.162193,4.37680418,0.115138702,192,341
0.346647,0.001004,0.7788,0.148552,5.24260865,0.115692298,197,342
0.347626,0.000979,0.730354,0.146519,4.98470506,0.107010738,202,343
0.348632,0.001006,0.711662,0.149008,4.7759986,0.106043331,206,344
0.34963,0.000998,0.691003,0.188096,3.67367195,0.1299749,206,345
0.350632,0.001002,0.771385,0.15977,4.82809664,0.123244181,203,346
0.351633,0.001001,0.752117,0.192511,3.90687805,0.144790796,203,347
0.352636,0.001003,0.751302,0.148636,5.05464356,0.111670524,208,348
0.353639,0.001003,0.698681,0.166464,4.19718978,0.116305234,201,349
0.354625,0.000986,0.727043,0.153675,4.73104279,0.111728333,202,350
0.355639,0.001014,0.719652,0.16806,4.28211353,0.120944715,194,351
0.356646,0.001007,0.778824,0.195546,3.98281734,0.152295918,194,352
0.35763,0.000984,0.730834,0.159134,4.59256978,0.116300538,191,353
0.35864,0.00101,0.737577,0.157676,4.67780131,0.116298191,190,354
0.359647,0.001007,0.727691,0.192541,3.77940802,0.140110353,190,355
0.360636,0.000989,0.791829,0.161203,4.91199916,0.12764521,186,356
0.361647,0.001011,0.703768,0.15779,4.4601559,0.111047553,184,357
0.362631,0.000984,0.740168,0.141642,5.22562517,0.104838876,192,358
0.363643,0.001012,0.74096,0.143987,5.14602013,0.106688608,199,359
0.364629,0.000986,0.756796,0.146489,5.16623091,0.110862289,205,360
0.365643,0.001014,0.747174,0.151437,4.9338933,0.113149789,208,361
0.366652,0.001009,0.764835,0.155361,4.92295364,0.11882553,208,362
0.367634,0.000982,0.782111,0.176308,4.43604941,0.137892426,208,363
0.36864,0.001006,0.678933,0.167406,4.05560733,0.113657458,200,364
0.369655,0.001015,0.742232,0.152775,4.85833415,0.113394494,202,365
0.370637,0.000982,0.863117,0.162181,5.3219366,0.139981178,197,366
0.371652,0.001015,0.727979,0.151263,4.81267065,0.110116287,200,367
0.372632,0.00098,0.71982,0.162673,4.42495067,0.117095279,195,368
0.373644,0.001012,0.71291,0.162541,4.38603183,0.115877104,191,369
0.374648,0.001004,0.718621,0.159566,4.50359726,0.114667478,188,370
0.375626,0.000978,0.747534,0.174856,4.27514069,0.130710805,188,371
0.376631,0.001005,0.839171,0.154557,5.42952438,0.129699752,188,372
0.377638,0.001007,0.763851,0.148672,5.13782689,0.113563256,192,373
0.378643,0.001005,0.74216,0.15064,4.92671269,0.111798982,195,374
0.379626,0.000983,0.868468,0.156908,5.53488669,0.136269577,193,375
0.380632,0.001006,0.743335,0.153855,4.83139969,0.114365806,194,376
0.38164,0.001008,0.64762,0.170327,3.80221574,0.110307172,185,377
0.382646,0.001006,0.840322,0.172367,4.87519073,0.144843782,174,378
0.38363,0.000984,0.728938,0.186662,3.90512263,0.136065025,174,379
0.384637,0.001007,0.696905,0.1562,4.46161972,0.108856561,172,380
