t_s,src,stream,value,raw_code,seq
-1.813481,1,laser,4.481372,1924734649,1795989
-1.812921,3,sma_v,0.50701,0,3181876
-1.812921,4,sma_i,0.079429,0,3181876
-1.812472,2,load,1.875889,3147220,1795982
-1.811914,4,sma_i,0.11992,0,3181877
-1.811914,3,sma_v,0.546146,0,3181877
-1.811465,1,laser,4.482336,1925148731,1795990
-1.810949,4,sma_i,0.072854,0,3181878
-1.810949,3,sma_v,0.514665,0,3181878
-1.810455,2,load,1.875883,3147210,1795983
-1.809941,4,sma_i,0.1113,0,3181879
-1.809941,3,sma_v,0.436394,0,3181879
-1.809449,1,laser,4.48183,1924931379,1795991
-1.808937,3,sma_v,0.432626,0,3181880
-1.808937,4,sma_i,0.100958,0,3181880
-1.80844,2,load,1.880235,3154510,1795984
-1.80793,3,sma_v,0.632479,0,3181881
-1.80793,4,sma_i,0.102818,0,3181881
-1.807433,1,laser,4.482779,1925338868,1795992
-1.806927,3,sma_v,0.626193,0,3181882
-1.806927,4,sma_i,0.108385,0,3181882
-1.806423,2,load,1.878065,3150870,1795985
-1.80594,3,sma_v,0.453574,0,3181883
-1.80594,4,sma_i,0.15061,0,3181883
-1.805413,1,laser,4.482401,1925176569,1795993
-1.804917,3,sma_v,0.419285,0,3181884
-1.804917,4,sma_i,0.107689,0,3181884
-1.804404,2,load,1.878065,3150870,1795986
-1.80393,3,sma_v,0.395075,0,3181885
-1.80393,4,sma_i,0.110946,0,3181885
-1.803404,1,laser,4.482401,1925176569,1795994
