t_s,dt_s,v_sma_V,i_A,r_ohm,p_W,dac_code,seq
0.254575,0.000998,0.466075,0.134965,3.45330271,0.0629038124,21,250
0.255575,0.001,0.475217,0.139062,3.41730307,0.0660846265,21,251
0.256575,0.001,0.540171,0.121474,4.44680343,0.0656167321,21,252
0.257577,0.001002,0.699857,0.106399,6.5776652,0.0744640849,20,253
0.258581,0.001004,0.612732,0.108247,5.66049867,0.0663264008,19,254
0.259584,0.001003,0.527958,0.133225,3.96290486,0.0703372046,19,255
0.260587,0.001003,0.641693,0.112428,5.70759064,0.0721442606,15,256
0.261574,0.000987,0.494629,0.11136,4.44171157,0.0550818854,11,257
0.262585,0.001011,0.5353,0.107911,4.96056936,0.0577647583,9,258
0.263592,0.001007,0.437281,0.107971,4.04998564,0.0472136669,8,259
0.264576,0.000984,0.457557,0.132488,3.45357315,0.0606208118,8,260
0.265586,0.00101,0.511401,0.090869,5.6278929,0.0464704975,8,261
0.266576,0.00099,0.597711,0.100688,5.93626847,0.0601823252,11,262
0.267588,0.001012,0.751997,0.10052,7.48106844,0.0755907384,15,263
0.268573,0.000985,0.524407,0.088007,5.95869647,0.0461514868,15,264
0.269586,0.001013,0.505427,0.091132,5.54609797,0.0460605734,15,265
0.270597,0.001011,0.523039,0.105517,4.95691689,0.0551895062,15,266
0.271589,0.000992,0.473154,0.133297,3.54962227,0.0630700087,15,267
0.272602,0.001013,0.600662,0.117089,5.12996097,0.0703309129,7,268
0.273587,0.000985,0.433562,0.105787,4.0984431,0.0458652233,7,269
0.274589,0.001002,0.598575,0.106039,5.64485708,0.0634722944,7,270
0.275602,0.001013,0.411727,0.106339,3.87183442,0.0437826375,7,271
0.276581,0.000979,0.559007,0.085764,6.51796791,0.0479426763,7,272
0.277589,0.001008,0.516632,0.107935,4.7865104,0.0557626749,5,273
0.278594,0.001005,0.609588,0.096795,6.29772199,0.0590050705,11,274
0.279584,0.00099,0.503267,0.101804,4.94348945,0.0512345937,13,275
0.280591,0.001007,0.524239,0.100137,5.23521775,0.0524957207,17,276
0.281594,0.001003,0.536404,0.10463,5.12667495,0.0561239505,18,277
0.282599,0.001005,0.474137,0.10286,4.60953724,0.0487697318,20,278
0.283583,0.000984,0.403329,0.106597,3.78368059,0.0429936614,20,279
0.284588,0.001005,0.49031,0.103226,4.74986922,0.0506127401,22,280
0.285594,0.001006,0.512889,0.096903,5.29280827,0.0497004828,28,281
0.286595,0.001001,0.522655,0.142163,3.67644887,0.0743022028,28,282
0.287577,0.000982,0.621442,0.093364,6.65612013,0.0580203109,36,283
0.288582,0.001005,0.538516,0.103466,5.20476292,0.0557180965,38,284
0.289589,0.001007,0.607765,0.131324,4.62798118,0.0798141309,38,285
0.290591,0.001002,0.644669,0.13761,4.68475401,0.0887129011,38,286
0.291591,0.001,0.509002,0.119044,4.27574678,0.0605936341,38,287
0.292581,0.00099,0.545498,0.1131,4.82314766,0.0616958238,34,288
0.293591,0.00101,0.526662,0.096717,5.44539223,0.0509371687,41,289
0.29458,0.000989,0.441121,0.109057,4.04486645,0.0481073329,39,290
