t_rel_s,displacement_um,force_N,sma_v,sma_i,sma_r,stage_mm
1.8599982,-3829.8176,0.21712719,0.49332369,0.12158539,3.9575994,79.999979
1.8699982,-3829.961,0.21715731,0.49322322,0.1209036,3.9791753,79.999979
1.8799982,-3828.8975,0.2171502,0.49333973,0.12031943,4.0015637,79.999979
1.8899982,-3829.8964,0.21761764,0.49345625,0.11973526,4.0239521,79.999979
1.8999982,-3827.5685,0.21721245,0.49357277,0.11915109,4.0463405,79.999979
1.9099982,-3827.3051,0.21687186,0.49368929,0.11856692,4.0687288,79.999979
1.9199982,-3826.291,0.21701436,0.49380581,0.11798274,4.0911172,79.999979
1.9299982,-3825.8096,0.21687461,0.49392232,0.11739857,4.1135056,79.999979
1.9399981,-3825.496,0.21690797,0.49403884,0.1168144,4.135894,79.999979
1.9499981,-3826.1096,0.21847693,0.49415536,0.11623023,4.1582823,79.999979
1.9599981,-3826.8724,0.2172337,0.49427188,0.11564606,4.1806707,79.999979
1.9699981,-3824.9081,0.21781629,0.4943884,0.11506188,4.2030591,79.999979
1.9799981,-3823.2926,0.2171881,0.49450491,0.11447771,4.2254475,79.999979
1.9899981,-3822.511,0.21700704,0.49462143,0.11389354,4.2478358,79.999979
1.9999981,-3822.4822,0.21700704,0.49473795,0.11330937,4.2702242,79.999979
2.0099981,-3823.0474,0.21763883,0.49485447,0.1127252,4.2926126,79.999979
2.0199981,-3824.958,0.21713227,0.49497099,0.11214102,4.315001,79.999979
2.0299981,-3825.9707,0.21666074,0.49540644,0.11155685,4.3373893,79.999979
2.0399981,-3821.766,0.21643963,0.49586232,0.11214237,4.3209933,79.999979
2.049998,-3822.0918,0.21736963,0.4963182,0.11354848,4.2773885,79.999979
2.059998,-3819.2438,0.21739373,0.49677408,0.11495459,4.2337837,79.999979
2.069998,-3820.4058,0.21663724,0.49722996,0.1163607,4.1901789,79.999979
2.079998,-3819.7929,0.21671865,0.49768585,0.11776681,4.1465741,79.999979
2.089998,-3818.2846,0.21741073,0.49814173,0.11917292,4.1029693,79.999979
2.099998,-3818.2846,0.21741073,0.49859761,0.12057903,4.0593645,79.999979
2.109998,-3818.8006,0.21733056,0.49905349,0.12198514,4.0157596,79.999979
2.119998,-3819.8279,0.21751312,0.49950937,0.12339125,3.9721548,79.999979
2.129998,-3816.6235,0.21751609,0.49996525,0.12479736,3.92855,79.999979
2.139998,-3814.9551,0.21750912,0.50042114,0.12620347,3.8849452,79.999979
2.1499979,-3817.2995,0.21795802,0.50087702,0.12760958,3.8413404,79.999979
2.1599979,-3816.5809,0.21840126,0.5013329,0.12901569,3.7977356,79.999979
2.1699979,-3815.7919,0.21792689,0.50178878,0.1304218,3.7541307,79.999979
2.1799979,-3813.7305,0.2163169,0.50278636,0.13065478,3.746367,79.999979
2.1899979,-3814.0736,0.21751092,0.50415129,0.13009224,3.7750389,79.999979
2.1999979,-3813.7573,0.21681999,0.50551621,0.1295297,3.8037107,79.999979
2.2099979,-3813.7017,0.21760238,0.50688114,0.12896716,3.8323826,79.999979
2.2199979,-3813.2595,0.21780592,0.50824606,0.12840461,3.8610544,79.999979
2.2299979,-3813.8122,0.21759249,0.50961099,0.12784207,3.8897263,79.999979
2.2399979,-3813.2717,0.21790274,0.51097591,0.12727953,3.9183981,79.999979
2.2499979,-3813.2231,0.21790274,0.51234084,0.12671699,3.94707,79.999979
2.2599978,-3814.0144,0.217541,0.51370577,0.12615445,3.9757418,79.999979
2.2699978,-3813.071,0.21704161,0.51507069,0.12559191,4.0044137,79.999979
2.2799978,-3810.6776,0.2170589,0.51643562,0.12502937,4.0330855,79.999979
2.2899978,-3810.4853,0.21757515,0.51780054,0.12446682,4.0617574,79.999979
2.2999978,-3811.8695,0.21762185,0.51916547,0.12390428,4.0904293,79.999979
2.3099978,-3809.3168,0.21816588,0.52010396,0.123345,4.1188091,79.999979
2.3199978,-3809.8527,0.21789284,0.51743784,0.12334453,4.0970838,79.999979
2.3299978,-3810.4219,0.21752591,0.51477171,0.12334407,4.0753584,79.999979
2.3399978,-3808.9534,0.2178146,0.51210559,0.12334361,4.0536331,79.999979
2.3499978,-3809.0759,0.21760885,0.50943946,0.12334314,4.0319077,79.999979
2.3599977,-3810.7491,0.21760885,0.50677334,0.12334268,4.0101824,79.999979
2.3699977,-3808.134,0.2177149,0.50410721,0.12334222,3.988457,79.999979
2.3799977,-3806.6665,0.21704037,0.50144109,0.12334176,3.9667317,79.999979
2.3899977,-3805.2519,0.21788163,0.49877496,0.12334129,3.9450063,79.999979
2.3999977,-3806.0557,0.21776667,0.49610884,0.12334083,3.923281,79.999979
2.4099977,-3806.8594,0.21798172,0.49344271,0.12334037,3.9015556,79.999979
2.4199977,-3807.0225,0.21685848,0.49077659,0.1233399,3.8798303,79.999979
2.4299977,-3804.7511,0.217387,0.48811046,0.12333944,3.8581049,79.999979
2.4399977,-3799.9272,0.2178089,0.48544434,0.12333898,3.8363796,79.999979
2.4499977,-3803.8414,0.21744001,0.48277821,0.12333851,3.8146543,79.999979
2.4599977,-3802.2927,0.217657,0.48011209,0.12333805,3.7929289,79.999979
2.4699976,-3803.7059,0.21768659,0.47744596,0.12333759,3.7712036,79.999979
2.4799976,-3804.0287,0.21764975,0.47477984,0.12333712,3.7494782,79.999979
2.4899976,-3801.7652,0.21785177,0.47605703,0.12324029,3.763018,79.999979
2.4999976,-3799.3343,0.2174197,0.47876506,0.12310849,3.7893537,79.999979
2.5099976,-3801.3641,0.21768213,0.48147308,0.12297668,3.8156894,79.999979
2.5199976,-3801.1456,0.21808169,0.48418111,0.12284488,3.8420251,79.999979
2.5299976,-3800.2142,0.21808745,0.48688914,0.12271308,3.8683608,79.999979
2.5399976,-3799.2828,0.21809321,0.48959716,0.12258128,3.8946965,79.999979
2.5499976,-3799.8374,0.2179374,0.49230519,0.12244947,3.9210322,79.999979
2.5599976,-3801.946,0.21766904,0.49501321,0.12231767,3.9473679,79.999979
2.5699975,-3800.5909,0.2180465,0.49772124,0.12218587,3.9737036,79.999979
2.5799975,-3797.7324,0.21858325,0.50042926,0.12205407,4.0000393,79.999979
2.5899975,-3798.9584,0.21821344,0.50313729,0.12192226,4.026375,79.999979
2.5999975,-3800.1845,0.21761398,0.50584531,0.12179046,4.0527107,79.999979
