sweep,level_mA,heat_ms,cycle,E_int_J,t_heat_s
sweep_20260731_155129,750,300,6,0.7389228489259797,0.299071
sweep_20260731_155129,850,300,1,0.9387986750046474,0.299381
sweep_20260731_155129,850,300,2,0.9350314423582289,0.299353
sweep_20260731_155129,850,300,3,0.9286476289122043,0.299105
sweep_20260731_155129,850,300,4,0.9309516416490042,0.299794
sweep_20260731_155129,850,300,5,0.9373980348245105,0.299573
sweep_20260731_155129,850,300,6,0.9319521329107602,0.299362
sweep_20260731_134414,950,300,1,0.17871925462295835,0.299117
sweep_20260731_134414,950,300,2,1.1501379804452234,0.29948
sweep_20260731_134414,950,300,3,1.1508572419027874,0.299982
sweep_20260731_134414,950,300,4,1.1476395027158708,0.299589
sweep_20260731_141513,950,300,1,1.1604305927910263,0.299663
sweep_20260731_141513,950,300,2,1.7819801374128708,0.299547
sweep_20260731_141513,950,300,3,1.1499564521961636,0.299997
sweep_20260731_141513,950,300,4,1.1563086592821887,0.299795
sweep_20260731_144243,950,300,1,1.16090746161882,0.299019
sweep_20260731_144243,950,300,2,1.1610222218144475,0.299994
sweep_20260731_144243,950,300,3,1.1537703240610422,0.299996
sweep_20260731_144243,950,300,4,1.1496538068815885,0.299722
sweep_20260731_155129,950,300,1,1.1599240699316617,0.299463
sweep_20260731_155129,950,300,2,1.146628467120438,0.299304
sweep_20260731_155129,950,300,3,1.1523906627938691,0.299059
sweep_20260731_155129,950,300,4,1.1481945282286334,0.29988
sweep_20260731_155129,950,300,5,1.1461239282436322,0.299611
sweep_20260731_155129,950,300,6,1.1476258719818726,0.299395
sweep_20260731_155129,150,400,1,0.029072470594951695,0.399738
sweep_20260731_155129,150,400,2,0.04304437911849486,0.399651
sweep_20260731_155129,150,400,3,0.04370782716725455,0.399922
sweep_20260731_155129,150,400,4,0.04253591488185424,0.399682
sweep_20260731_155129,150,400,5,0.04139680805328563,0.399947
sweep_20260731_155129,150,400,6,0.04075298943580902,0.399538
sweep_20260731_155129,250,400,1,0.11401006981826875,0.399338
sweep_20260731_155129,250,400,2,0.11625948837224773,0.399654
sweep_20260731_155129,250,400,3,0.11211914126527961,0.3997
sweep_20260731_155129,250,400,4,0.11604032471144177,0.399375
sweep_20260731_155129,250,400,5,0.11483111350273728,0.399783
sweep_20260731_155129,250,400,6,0.11411817448848839,0.399174
sweep_20260731_155129,350,400,1,0.21607431281235623,0.399239
sweep_20260731_155129,350,400,2,0.21848441778059846,0.399606
sweep_20260731_155129,350,400,3,0.22326566441261114,0.399994
sweep_20260731_155129,350,400,4,0.21761423935996219,0.399978
sweep_20260731_155129,350,400,5,0.21451413248171042,0.39965
sweep_20260731_155129,350,400,6,0.22208976437523736,0.399132
sweep_20260731_155129,450,400,1,0.36225473121713486,0.399508
sweep_20260731_155129,450,400,2,0.35712791789943243,0.399012
sweep_20260731_155129,450,400,3,0.3581306736479366,0.399575
sweep_20260731_155129,450,400,4,0.35820704680050197,0.399823
sweep_20260731_155129,450,400,5,0.3601325629977723,0.399254
sweep_20260731_155129,450,400,6,0.3584675095142157,0.399409
sweep_20260731_155129,550,400,1,0.538847635848503,0.39983
sweep_20260731_155129,550,400,2,0.5317028303574668,0.39927
sweep_20260731_155129,550,400,3,0.5332268884304072,0.399567
sweep_20260731_155129,550,400,4,0.5310666564669582,0.399828
sweep_20260731_155129,550,400,5,0.5338848474788296,0.399743
sweep_20260731_155129,550,400,6,0.5334879476539436,0.399593
sweep_20260731_155129,650,400,1,0.7448260365395392,0.399218
sweep_20260731_155129,650,400,2,0.7380124171205659,0.399487
sweep_20260731_155129,650,400,3,0.7383850607388771,0.399403
sweep_20260731_155129,650,400,4,0.7409152425687726,0.399194
sweep_20260731_155129,650,400,5,0.7422839656926031,0.399846
sweep_20260731_155129,650,400,6,0.7417711905284288,0.399233
sweep_20260731_134414,750,400,1,0.21039121085848017,0.399978
sweep_20260731_134414,750,400,2,0.9716800618063528,0.399841
sweep_20260731_134414,750,400,3,0.968453597919669,0.399251
sweep_20260731_134414,750,400,4,0.9691911840785876,0.399381
sweep_20260731_141513,750,400,1,0.9778469582887959,0.399294
sweep_20260731_141513,750,400,2,0.9720237456850482,0.399382
sweep_20260731_141513,750,400,3,0.9708844361604508,0.399567
sweep_20260731_141513,750,400,4,0.9728874075036427,0.399375
sweep_20260731_144243,750,400,1,0.981374113477063,0.399809
sweep_20260731_144243,750,400,2,0.9743908739201491,0.399995
sweep_20260731_144243,750,400,3,0.9746078940029128,0.399946
sweep_20260731_144243,750,400,4,0.9761672354722946,0.39999
sweep_20260731_155129,750,400,1,0.9797436678009155,0.399999
sweep_20260731_155129,750,400,2,0.9724675852918028,0.399067
sweep_20260731_155129,750,400,3,0.9714101160844882,0.39948
sweep_20260731_155129,750,400,4,0.9740365834501128,0.399748
sweep_20260731_155129,750,400,5,0.9714297050196856,0.399925
sweep_20260731_155129,750,400,6,0.970818264767273,0.399491
sweep_20260731_134414,850,400,1,0.25921257838676115,0.399974
sweep_20260731_134414,850,400,2,1.2318986878762357,0.399978
sweep_20260731_134414,850,400,3,1.231067803178195,0.399947
sweep_20260731_134414,850,400,4,1.2361844495645689,0.399926
sweep_20260731_141513,850,400,1,1.2391783299094534,0.399403
sweep_20260731_141513,850,400,2,1.2281104482316305,0.399418
sweep_20260731_141513,850,400,3,1.2294418079274423,0.399985
sweep_20260731_141513,850,400,4,1.2283604780340873,0.399238
sweep_20260731_144243,850,400,1,1.2364231687285936,0.399924
sweep_20260731_144243,850,400,2,1.2277925109513066,0.399678
sweep_20260731_144243,850,400,3,1.2307286557949966,0.39945
sweep_20260731_144243,850,400,4,1.228969596443501,0.399559
sweep_20260731_155129,850,400,1,1.235595848404596,0.39999
sweep_20260731_155129,850,400,2,1.2248102165466357,0.399328
sweep_20260731_155129,850,400,3,1.2233498850371887,0.399702
sweep_20260731_155129,850,400,4,1.2285017303248578,0.399077
sweep_20260731_155129,850,400,5,1.2259389825767606,0.399358
sweep_20260731_155129,850,400,6,1.2323786069543632,0.399892
sweep_20260731_134414,950,400,1,0.3130823671979627,0.39961
sweep_20260731_134414,950,400,2,1.528139995841708,0.399987
sweep_20260731_134414,950,400,3,1.5161210271725851,0.399794
sweep_20260731_134414,950,400,4,1.5066660844975872,0.399328
sweep_20260731_141513,950,400,1,1.5190739637558546,0.399617
sweep_20260731_141513,950,400,2,1.508656205242952,0.399009
sweep_20260731_141513,950,400,3,1.5141125223907022,0.39921
sweep_20260731_141513,950,400,4,1.519738725948228,0.399389
