level_mA,heat_ms,cycle,bootstrap,cool_s,i_mA,u_V,R_ohm,cc_pct,dx_um,x_base_um,F_base_mN,dF_mN,clipped,railed,n_samples,sweep,run_type,i_low_mA,seeded
250,400,5,0,30.0,250.91285933503838,1.144640976982097,4.561906392584222,100.4,173.39849447538927,-3945.792742930993,185.02469909349816,6.447784310552742,0,0,391,sweep_20260731_155129,map,0,1
250,400,6,0,30.0,250.93901265822782,1.1394900430379746,4.540904305660632,100.4,176.18524496276314,-3946.3436367377453,184.93741979564126,6.487714683712738,0,0,395,sweep_20260731_155129,map,0,1
350,400,1,1,30.0,347.9313969465648,1.5547734529262087,4.468620729749751,99.4,384.4409514224849,-4133.568630179125,179.228031352565,12.81822690914859,0,0,393,sweep_20260731_155129,map,0,1
350,400,2,0,30.0,349.1668877551021,1.5653368367346938,4.48306208758428,99.8,383.7667827666696,-4028.9140683107285,182.511828201075,12.200576447765256,0,0,392,sweep_20260731_155129,map,0,1
350,400,3,0,30.0,351.54646803069045,1.5883898567774937,4.518292747116507,100.4,368.7519024644412,-3986.191037787656,183.71026273222952,12.094304173439735,0,0,391,sweep_20260731_155129,map,0,1
350,400,4,0,30.0,347.2884798994975,1.564520042713568,4.504958077406793,99.2,367.29862487403716,-4011.0959592147033,183.09186222079268,11.81807469153476,0,0,398,sweep_20260731_155129,map,0,1
350,400,5,0,30.0,347.19578772378514,1.5450424654731456,4.450061089745474,99.2,370.4155965786881,-4028.7751277547704,182.47276705895518,11.873296116608891,0,0,391,sweep_20260731_155129,map,0,1
350,400,6,0,30.0,350.6201272264631,1.587032796437659,4.526359650233672,100.2,352.5041487258409,-3966.7652739244013,184.28789625573603,11.574508880929466,0,0,393,sweep_20260731_155129,map,0,1
450,400,1,1,30.0,451.3989088607595,2.007860101265823,4.4480836392211485,100.3,671.4251411292958,-4150.821721625731,178.6570884986799,21.841786084084145,0,0,395,sweep_20260731_155129,map,0,1
450,400,2,0,30.0,447.725511392405,1.9985229139240508,4.463723560689539,99.5,715.0022160816047,-3975.1321688244584,184.04354693456955,22.781653748383142,0,0,395,sweep_20260731_155129,map,0,1
450,400,3,0,30.0,449.79098205128207,1.9901342717948718,4.424575750093563,100.0,682.0852086518153,-3968.490997317865,184.10893302342436,21.96829189257698,0,0,390,sweep_20260731_155129,map,0,1
450,400,4,0,30.0,448.51205822784806,1.998339093670886,4.455485771255925,99.7,706.9828524706722,-4012.8343668046537,182.98904262224397,22.45421646349862,0,0,395,sweep_20260731_155129,map,0,1
450,400,5,0,30.0,452.01484732824434,1.9968225012722645,4.417603786855725,100.4,703.8045978820642,-3935.752310398119,185.2901066035677,22.654018771912273,0,0,393,sweep_20260731_155129,map,0,1
450,400,6,0,30.0,449.37501534526854,1.9961678030690537,4.442097880175508,99.9,684.5917294433152,-3959.0106746113756,184.33243565379544,22.145637612279838,0,0,391,sweep_20260731_155129,map,0,1
550,400,1,1,30.0,551.1072784810127,2.445286865822785,4.437043314983241,100.2,1155.8553494669723,-4159.116908645053,178.48461975555492,36.64066116805814,0,0,395,sweep_20260731_155129,map,0,1
550,400,2,0,30.0,549.5210759493671,2.4258834987341773,4.414541324994964,99.9,1171.2838644163749,-4010.6850520027747,183.02226235652518,37.478640999138364,0,0,395,sweep_20260731_155129,map,0,1
550,400,3,0,30.0,550.3003624678664,2.4289641028277633,4.413887884672432,100.1,1145.6090149086517,-4005.008363551277,183.16410703775816,36.54274602795703,0,0,389,sweep_20260731_155129,map,0,1
550,400,4,0,30.0,551.0792455696202,2.4131144556962023,4.37888829074283,100.2,1127.4623813131275,-3944.8163747667227,184.77572356195228,36.35394998627041,0,0,395,sweep_20260731_155129,map,0,1
550,400,5,0,30.0,550.5750948717949,2.4259374307692307,4.406188099253066,100.1,1160.1730103406712,-3971.526551049421,183.88423353707287,37.56443255972904,0,0,390,sweep_20260731_155129,map,0,1
550,400,6,0,30.0,549.9952468513853,2.4265795944584383,4.412001027918204,100.0,1133.0474924599084,-3939.47330950508,185.1413309677541,36.31909883704709,0,0,397,sweep_20260731_155129,map,0,1
650,400,1,1,30.0,650.4869236641221,2.8657995750636136,4.405622112925617,100.1,1847.827581210604,-4159.914124251181,178.5169971557689,58.48721215202162,0,0,393,sweep_20260731_155129,map,0,1
