pass_index,sweep_index,direction,displacement_mm,stage_actual_mm,expected_force_mN,timestamp_us,voltage_V,raw_code,adc_source
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56584000,0.92033400,395280402,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56586000,0.92027400,395254851,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56588000,0.92004200,395155239,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56590000,0.92004200,395155239,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56592000,0.92032800,395277757,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56594000,0.92107200,395597596,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56596000,0.92140800,395741568,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56598000,0.92114700,395629462,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56600000,0.92114700,395629462,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56602000,0.92046900,395338270,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56604000,0.92017300,395211132,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56606000,0.92018500,395216413,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56608000,0.92082800,395492537,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56610000,0.92082800,395492537,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56612000,0.92129100,395691327,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56614000,0.92157800,395814923,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56616000,0.92095900,395548657,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56618000,0.92041700,395315986,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56620000,0.92041700,395315986,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56622000,0.92024100,395240466,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56624000,0.92063400,395409139,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56626000,0.92095100,395545486,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56628000,0.92153000,395794101,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56630000,0.92153000,395794101,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56632000,0.92136700,395723954,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56634000,0.92039600,395307031,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56636000,0.92009400,395177535,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56638000,0.92024100,395240440,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56640000,0.92057400,395383363,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56642000,0.92057400,395383363,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56644000,0.92117700,395642562,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56646000,0.92135200,395717566,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56648000,0.92105100,395588195,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56650000,0.92105100,395588195,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56652000,0.92043500,395323966,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56654000,0.92037700,395299101,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56656000,0.92043900,395325440,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56658000,0.92106000,395592343,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56660000,0.92121000,395656835,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56662000,0.92121000,395656835,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56664000,0.92124000,395669534,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56666000,0.92084300,395498975,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56668000,0.92045700,395333395,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56670000,0.92023100,395236298,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56672000,0.92023100,395236298,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56674000,0.92051500,395358139,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56676000,0.92081800,395488411,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56678000,0.92103500,395581501,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56680000,0.92124600,395672309,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56682000,0.92124600,395672309,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56684000,0.92066200,395421283,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56686000,0.92047500,395340798,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56688000,0.92048500,395345223,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56690000,0.92070700,395440454,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56692000,0.92109500,395607327,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56694000,0.92109500,395607327,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56696000,0.92144600,395757916,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56698000,0.92121700,395659580,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56700000,0.92079700,395479504,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56702000,0.92079700,395479504,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56704000,0.92034200,395283733,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56706000,0.92021400,395228919,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56708000,0.92097400,395555200,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56710000,0.92120900,395656137,1
-1,-1,baseline_pre,0.000000,9.999960,0.0000,56712000,0.92134000,395712373,1
