t_rel_s,displacement_um,force_N,stage_mm
11.829989,-4960.0695,0.21546209,79.999979
11.839989,-4960.7991,0.21612936,79.999979
11.849989,-4957.1331,0.21628484,79.999979
11.859989,-4959.8957,0.21644375,79.999979
11.869989,-4960.2629,0.21581096,79.999979
11.879989,-4960.5245,0.21597685,79.999979
11.889989,-4960.8317,0.21616594,79.999979
11.899989,-4958.154,0.21455885,79.999979
11.909989,-4959.3223,0.21624606,79.999979
11.919989,-4958.9754,0.21638347,79.999979
11.929989,-4959.4009,0.21587231,79.999979
11.939989,-4960.4026,0.21635317,79.999979
11.949989,-4959.3356,0.21635317,79.999979
11.959989,-4957.2224,0.21488571,79.999979
11.969989,-4958.6585,0.21588668,79.999979
11.979989,-4960.611,0.21602244,79.999979
11.989989,-4958.3734,0.21536559,79.999979
11.999989,-4959.5329,0.21490712,79.999979
12.009989,-4960.5194,0.21541768,79.999979
12.019989,-4957.0789,0.21639655,79.999979
12.029989,-4958.7024,0.21637307,79.999979
12.039989,-4960.5407,0.21515436,79.999979
12.049989,-4958.2293,0.21560843,79.999979
12.059988,-4959.7671,0.21578918,79.999979
12.069988,-4957.593,0.21580378,79.999979
12.079988,-4957.2855,0.21516972,79.999979
12.089988,-4956.8462,0.21562818,79.999979
12.099988,-4959.2886,0.21692812,79.999979
12.109988,-4957.8148,0.21575394,79.999979
12.119988,-4959.0178,0.21607634,79.999979
12.129988,-4957.095,0.21608998,79.999979
12.139988,-4957.4792,0.21609691,79.999979
12.149988,-4957.0219,0.2161828,79.999979
12.159988,-4958.2049,0.21731095,79.999979
12.169988,-4957.9077,0.2160713,79.999979
12.179988,-4957.2949,0.21617257,79.999979
12.189988,-4956.8519,0.21603993,79.999979
12.199988,-4956.8519,0.21598859,79.999979
12.209988,-4957.7398,0.21502505,79.999979
12.219988,-4957.7478,0.21529845,79.999979
12.229988,-4957.5088,0.21569815,79.999979
12.239988,-4958.9872,0.21628643,79.999979
12.249988,-4957.15,0.21583587,79.999979
12.259988,-4957.4803,0.21706255,79.999979
12.269988,-4959.8148,0.21556876,79.999979
12.279988,-4957.7104,0.2164805,79.999979
12.289988,-4957.9301,0.21523826,79.999979
12.299988,-4959.4445,0.21609858,79.999979
12.309988,-4957.0988,0.21571953,79.999979
12.319988,-4957.6,0.21580113,79.999979
12.329988,-4959.0698,0.21524275,79.999979
12.339988,-4959.0935,0.21585699,79.999979
12.349988,-4956.9681,0.2154964,79.999979
12.359988,-4960.8481,0.21564135,79.999979
12.369988,-4957.8784,0.21587426,79.999979
12.379988,-4957.8784,0.2160406,79.999979
12.389988,-4959.8229,0.21610666,79.999979
12.399988,-4961.2533,0.21576822,79.999979
12.409988,-4956.6972,0.21649747,79.999979
12.419988,-4959.9892,0.21595467,79.999979
12.429988,-4957.2926,0.21591,79.999979
12.439988,-4957.679,0.21558269,79.999979
12.449988,-4958.6338,0.21626239,79.999979
12.459988,-4958.3016,0.2153235,79.999979
12.469988,-4960.2202,0.21518879,79.999979
12.479988,-4960.4716,0.21626159,79.999979
12.489988,-4957.9452,0.21594945,79.999979
12.499988,-4958.2706,0.21601666,79.999979
12.509988,-4959.1378,0.21594105,79.999979
12.519988,-4958.5453,0.21561533,79.999979
12.529988,-4959.1879,0.21613633,79.999979
12.539988,-4959.8732,0.2157443,79.999979
12.549988,-4957.9435,0.21516229,79.999979
12.559988,-4958.7287,0.21525589,79.999979
12.569988,-4959.7212,0.2153548,79.999979
12.579988,-4961.083,0.21572958,79.999979
12.589988,-4958.6831,0.21575085,79.999979
12.599988,-4957.2778,0.21634611,79.999979
12.609988,-4957.3146,0.21692719,79.999979
12.619988,-4959.7537,0.21534215,79.999979
12.629988,-4960.6876,0.21526228,79.999979
12.639988,-4959.2482,0.21598408,79.999979
12.649988,-4957.6419,0.21577674,79.999979
12.659988,-4958.475,0.21640287,79.999979
12.669988,-4956.7735,0.21546324,79.999979
12.679988,-4958.7255,0.2146807,79.999979
12.689988,-4959.8581,0.21448924,79.999979
12.699988,-4960.9754,0.21541039,79.999979
12.709988,-4957.0217,0.21680767,79.999979
12.719988,-4959.2726,0.21658975,79.999979
12.729988,-4957.2617,0.21606568,79.999979
12.739988,-4959.5479,0.21593118,79.999979
12.749988,-4960.3121,0.21589444,79.999979
12.759988,-4959.7005,0.21589631,79.999979
12.769988,-4959.4442,0.21587177,79.999979
12.779988,-4957.7861,0.21604519,79.999979
12.789988,-4957.111,0.21578753,79.999979
