Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(mN)
"8.0200","7.9689","242.0053"
"8.0400","7.9896","242.5685"
"8.0600","8.0100","243.1129"
"8.0800","8.0297","243.4317"
"8.1000","8.0485","244.4449"
"8.1200","8.0680","245.2839"
"8.1400","8.0883","245.5336"
"8.1600","8.1083","246.2287"
"8.1800","8.1289","246.7358"
"8.2000","8.1491","247.6716"
"8.2200","8.1690","248.1955"
"8.2400","8.1888","248.7567"
"8.2600","8.2083","249.5873"
"8.2800","8.2287","249.6594"
"8.3000","8.2492","250.2210"
"8.3200","8.2688","251.3168"
"8.3400","8.2887","251.9990"
"8.3600","8.3083","252.6560"
"8.3800","8.3284","253.0131"
"8.4000","8.3486","253.5058"
"8.4200","8.3683","254.4803"
"8.4400","8.3886","254.7368"
"8.4600","8.4086","255.4145"
"8.4800","8.4285","255.9544"
"8.5000","8.4486","256.7444"
"8.5200","8.4683","257.3269"
"8.5400","8.4883","258.2502"
"8.5600","8.5086","258.5018"
"8.5800","8.5291","259.2814"
"8.6000","8.5499","259.6542"
"8.6200","8.5695","260.2538"
"8.6400","8.5885","260.8865"
"8.6600","8.6083","261.4903"
"8.6800","8.6287","262.4560"
"8.7000","8.6494","262.9054"
"8.7200","8.6687","263.8595"
"8.7400","8.6874","264.4635"
"8.7600","8.7077","264.9021"
"8.7800","8.7289","265.2453"
"8.8000","8.7501","265.5636"
"8.8200","8.7697","266.5326"
"8.8400","8.7886","267.6559"
"8.8600","8.8086","268.3032"
"8.8800","8.8293","268.7668"
"8.9000","8.8500","269.2219"
"8.9200","8.8698","269.5228"
"8.9400","8.8884","270.4218"
"8.9600","8.9080","270.8824"
"8.9800","8.9280","271.7387"
"9.0000","8.9481","272.3795"
"9.0200","8.9685","272.6806"
"9.0400","8.9882","273.6565"
"9.0600","9.0083","274.4358"
"9.0800","9.0288","274.8208"
"9.1000","9.0494","275.5535"
"9.1200","9.0699","275.8065"
"9.1400","9.0888","276.5228"
"9.1600","9.1077","277.2452"
"9.1800","9.1276","277.7607"
"9.2000","9.1481","278.5419"
"9.2200","9.1693","279.0375"
"9.2400","9.1894","279.6863"
"9.2600","9.2088","280.5938"
"9.2800","9.2288","280.9786"
"9.3000","9.2488","281.5278"
"9.3200","9.2693","282.1665"
"9.3400","9.2896","282.8457"
"9.3600","9.3092","283.7549"
"9.3800","9.3290","284.0357"
"9.4000","9.3486","284.6901"
"9.4200","9.3684","285.1142"
"9.4400","9.3886","285.4888"
"9.4600","9.4088","286.2885"
"9.4800","9.4290","286.7826"
"9.5000","9.4487","287.7739"
"9.5200","9.4684","288.4891"
"9.5400","9.4886","288.7906"
"9.5600","9.5083","289.0958"
"9.5800","9.5284","290.0141"
"9.6000","9.5491","290.6961"
"9.6200","9.5694","291.4624"
"9.6400","9.5895","291.8973"
"9.6600","9.6089","292.5766"
"9.6800","9.6286","293.2462"
"9.7000","9.6492","293.6950"
"9.7200","9.6694","294.7825"
"9.7400","9.6897","295.1399"
"9.7600","9.7090","295.7171"
"9.7800","9.7283","296.3103"
"9.8000","9.7487","296.9615"
"9.8200","9.7686","297.6185"
"9.8400","9.7886","298.1686"
"9.8600","9.8089","298.9972"
"9.8800","9.8292","299.6363"
"9.9000","9.8498","299.9709"
"9.9200","9.8697","300.3625"
"9.9400","9.8894","301.5200"
"9.9600","9.9091","301.7168"
"9.9800","9.9282","302.7491"
"10.0000","9.9482","303.1181"
"10.0200","9.9686","303.9490"
"10.0400","9.9889","304.8021"
"10.0600","10.0091","305.1168"
"10.0800","10.0286","305.7154"
"10.1000","10.0482","306.1867"
"10.1200","10.0681","306.7721"
"10.1400","10.0879","307.4752"
"10.1600","10.1083","308.0550"
"10.1800","10.1285","308.6408"
"10.2000","10.1486","309.2360"
"10.2200","10.1690","309.7327"
"10.2400","10.1887","310.8958"
"10.2600","10.2088","311.3293"
"10.2800","10.2291","311.9729"
"10.3000","10.2496","312.1969"
"10.3200","10.2700","312.6813"
"10.3400","10.2899","313.3785"
"10.3600","10.3100","314.3121"
"10.3800","10.3300","314.6470"
"10.4000","10.3496","315.3586"
"10.4200","10.3694","316.1538"
"10.4400","10.3889","317.1009"
"10.4600","10.4087","317.8611"
"10.4800","10.4291","318.2957"
"10.5000","10.4492","318.8945"
"10.5200","10.4699","319.0138"
"10.5400","10.4902","319.7445"
"10.5600","10.5099","320.6578"
"10.5800","10.5297","321.0663"
"10.6000","10.5491","321.7988"
"10.6200","10.5690","322.1294"
"10.6400","10.5890","322.7976"
"10.6600","10.6083","323.6499"
"10.6800","10.6284","323.8912"
"10.7000","10.6487","324.5108"
"10.7200","10.6686","325.3131"
"10.7400","10.6886","325.9055"
"10.7600","10.7084","326.8560"
