host_timestamp_s,monotonic_s,fields_json
1783958665.340580,1125308.437000,"{""t_ms"":166297,""hwm"":7,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":170318331,""m4_us"":168055703,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958666.300709,1125309.406000,"{""t_ms"":167297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":171354631,""m4_us"":169092010,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958667.304356,1125310.406000,"{""t_ms"":168297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":172391035,""m4_us"":170128404,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958668.343941,1125311.437000,"{""t_ms"":169297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":173427444,""m4_us"":171164807,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958669.307873,1125312.406000,"{""t_ms"":170297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":174463853,""m4_us"":172201220,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958670.346968,1125313.453000,"{""t_ms"":171297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":175500311,""m4_us"":173237655,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958671.280572,1125314.375000,"{""t_ms"":172297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":176536710,""m4_us"":174274077,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958672.238968,1125315.343000,"{""t_ms"":173297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":177573121,""m4_us"":175310480,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958673.227402,1125316.328000,"{""t_ms"":174297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":178609580,""m4_us"":176346954,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958674.165857,1125317.265000,"{""t_ms"":175297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":179646088,""m4_us"":177383476,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958675.172933,1125318.265000,"{""t_ms"":176297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":180682648,""m4_us"":178420029,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958676.146238,1125319.250000,"{""t_ms"":177297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":181719280,""m4_us"":179456573,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958677.120089,1125320.218000,"{""t_ms"":178297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":182755757,""m4_us"":180493130,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
1783958678.105780,1125321.203000,"{""t_ms"":179297,""hwm"":6,""cap"":256,""dropped"":0,""dropped_total"":453,""crc_err"":0,""crc_err_total"":0,""rate1"":512,""rate2"":512,""prod1"":512,""prod2"":512,""sma_state"":0,""m7_us"":183792361,""m4_us"":181529744,""vdd"":5.5,""offset"":0.31,""aref"":3.145}"
