t_s,v_trig,v_dac,v_out
0.0615,-1,-1.84,-0.6
0.0616,-1,-1.84,-0.48
0.0617,-1,-1.84,-0.6
0.0618,-1,-1.84,-0.6
0.0619,-1,-1.84,-0.6
0.062,-1,-1.84,-0.6
0.0621,-1,-1.84,-0.6
0.0622,-1,-1.84,-0.6
0.0623,-1,-1.84,-0.6
0.0624,-1,-1.84,-0.6
0.0625,-1,-1.84,-0.6
0.0626,-1,-1.84,-0.6
0.0627,-1,-1.76,-0.48
0.0628,-1,-1.84,-0.6
0.0629,-1,-1.84,-0.6
0.063,-1,-1.84,-0.6
0.0631,-1,-1.84,-0.6
0.0632,-1,-1.76,-0.6
0.0633,-1,-1.84,-0.6
0.0634,-1,-1.76,-0.36
0.0635,-1,-1.84,-0.6
0.0636,-1,-1.84,-0.6
0.0637,-1,-1.84,-0.6
0.0638,-1,-1.84,-0.6
0.0639,-1,-1.84,-0.6
0.064,-1,-1.84,-0.6
0.0641,-1,-1.84,-0.6
0.0642,-1,-1.84,-0.6
0.0643,-1,-1.84,-0.6
0.0644,-1,-1.76,-0.48
0.0645,-1,-1.84,-0.6
0.0646,-1,-1.84,-0.6
0.0647,-1,-1.84,-0.6
0.0648,-1,-1.84,-0.6
0.0649,-1,-1.84,-0.6
0.065,-1,-1.92,-0.72
0.0651,-1,-1.84,-0.6
0.0652,-1,-1.84,-0.6
0.0653,-1,-1.84,-0.6
0.0654,-1,-1.84,-0.6
0.0655,-1,-1.84,-0.6
0.0656,-1,-1.84,-0.6
0.0657,-1,-1.84,-0.48
0.0658,-1,-1.84,-0.6
0.0659,-1,-1.84,-0.6
0.066,-1,-1.76,-0.6
0.0661,-1,-1.84,-0.6
0.0662,-1,-1.84,-0.6
0.0663,-1,-1.84,-0.6
0.0664,-1,-1.84,-0.48
0.0665,-1,-1.76,-0.48
0.0666,-1,-1.84,-0.48
0.0667,-1,-1.84,-0.6
0.0668,-1,-1.84,-0.6
0.0669,-1,-1.84,-0.6
0.067,-1,-1.84,-0.6
0.0671,-1,-1.84,-0.48
0.0672,-1,-1.84,-0.48
0.0673,-1,-1.84,-0.6
0.0674,-1,-1.84,-0.6
0.0675,-1,-1.84,-0.6
0.0676,-1,-1.84,-0.6
0.0677,-1,-1.84,-0.6
0.0678,-1,-1.84,-0.6
0.0679,-1,-1.76,-0.48
0.068,-1,-1.84,-0.6
0.0681,-1,-1.84,-0.6
0.0682,-1,-1.84,-0.6
0.0683,-1,-1.84,-0.6
0.0684,-1,-1.84,-0.6
0.0685,-1,-1.84,-0.6
0.0686,-1,-1.84,-0.48
0.0687,-1,-1.76,-0.48
0.0688,-1,-1.84,-0.6
0.0689,-1,-1.84,-0.6
0.069,-1,-1.84,-0.72
0.0691,-1,-1.84,-0.48
0.0692,-1,-1.84,-0.6
0.0693,-1,-1.76,-0.48
0.0694,-1,-1.84,-0.48
0.0695,-1,-1.84,-0.6
0.0696,-1,-1.84,-0.6
0.0697,-1,-1.92,-0.72
0.0698,-1,-1.84,-0.6
0.0699,-1,-1.84,-0.6
0.07,-1,-1.76,-0.48
0.0701,-1,-1.84,-0.6
0.0702,-1,-1.84,-0.6
0.0703,-1,-1.84,-0.6
0.0704,-1,-1.92,-0.72
0.0705,-1,-1.84,-0.6
0.0706,-1,-1.76,-0.48
0.0707,-1,-1.84,-0.6
0.0708,-1,-1.84,-0.6
0.0709,-1,-1.84,-0.6
0.071,-1,-1.84,-0.6
0.0711,-1,-1.84,-0.6
0.0712,-1,-1.84,-0.48
0.0713,-1,-1.84,-0.6
0.0714,-1,-1.76,-0.48
0.0715,-1,-1.84,-0.6
0.0716,-1,-1.84,-0.6
0.0717,-1,-1.76,-0.6
0.0718,-1,-1.84,-0.6
0.0719,-1,-1.76,-0.6
0.072,-1,-1.76,-0.48
0.0721,-1,-1.84,-0.48
0.0722,-1,-1.84,-0.6
0.0723,-1,-1.84,-0.6
0.0724,-1,-1.84,-0.6
0.0725,-1,-1.84,-0.6
0.0726,-1,-1.76,-0.48
0.0727,-1,-1.76,-0.48
0.0728,-1,-1.84,-0.6
0.0729,-1,-1.84,-0.6
0.073,-1,-1.84,-0.6
0.0731,-1,-1.84,-0.48
0.0732,-1,-1.84,-0.6
0.0733,-1,-1.76,-0.6
0.0734,-1,-1.84,-0.6
0.0735,-1,-1.84,-0.6
0.0736,-1,-1.84,-0.6
0.0737,-1,-1.84,-0.6
0.0738,-1,-1.84,-0.6
0.0739,-1,-1.84,-0.6
0.074,-1,-1.76,-0.48
0.0741,-1,-1.76,-0.6
0.0742,-1,-1.76,-0.48
0.0743,-1,-1.84,-0.6
0.0744,-1,-1.92,-0.72
0.0745,-1,-1.84,-0.6
0.0746,-1,-1.84,-0.6
0.0747,-1,-1.76,-0.48
0.0748,-1,-1.84,-0.6
0.0749,-1,-1.84,-0.48
0.075,-1,-1.76,-0.48
0.0751,-1,-1.92,-0.72
0.0752,-1,-1.84,-0.6
0.0753,-1,-1.84,-0.6
0.0754,-1,-1.76,-0.48
0.0755,-1,-1.84,-0.48
0.0756,-1,-1.84,-0.6
0.0757,-1,-1.84,-0.6
0.0758,-1,-1.84,-0.6
0.0759,-1,-1.76,-0.48
0.076,-1,-1.84,-0.6
0.0761,-1,-1.84,-0.6
0.0762,-1,-1.84,-0.6
0.0763,-1,-1.76,-0.48
0.0764,-1,-1.84,-0.6
0.0765,-1,-1.84,-0.6
0.0766,-1,-1.84,-0.6
0.0767,-1,-1.84,-0.6
0.0768,-1,-1.84,-0.6
0.0769,-1,-1.84,-0.48
0.077,-1,-1.84,-0.6
0.0771,-1,-1.84,-0.6
0.0772,-1,-1.84,-0.6
0.0773,-1,-1.84,-0.48
0.0774,-1,-1.84,-0.48
0.0775,-1,-1.76,-0.6
0.0776,-1,-1.84,-0.48
