level_mA,heat_ms,sweep,run_type,cycle,bootstrap,i_mA,cc_pct,dx_um,x_base_um,F_base_mN,dF_mN,clipped,railed,detect_ok,cool_s,i_low_mA,seeded
350,200,sweep_20260731_145838,map,3,0,348.93,99.7,191.76,-4366.24,175.639,6.361,0,0,0,30.0,100,1
350,200,sweep_20260731_145838,map,4,0,379.05,108.3,205.39,-4165.33,181.751,6.474,0,0,0,30.0,100,1
350,200,sweep_20260731_145838,map,5,0,346.85,99.1,204.35,-4164.28,181.791,6.434,0,0,0,30.0,100,1
350,200,sweep_20260731_145838,map,6,0,348.28,99.5,198.79,-4158.72,181.981,6.245,0,0,0,30.0,100,1
350,200,sweep_20260731_145838,map,7,0,352.29,100.7,178.44,-4208.18,180.126,6.322,0,0,0,30.0,100,1
350,200,sweep_20260731_145838,map,8,0,346.51,99.0,178.24,-4207.98,180.169,6.279,0,0,0,30.0,100,1
350,200,sweep_20260731_145838,map,9,0,660.87,188.8,2651.63,-1632.4,260.452,81.774,0,0,0,30.0,100,1
350,200,sweep_20260731_145838,map,10,0,668.63,191.0,329.61,4698.11,456.452,37.054,1,1,0,30.0,100,1
350,200,sweep_20260731_145838,map,11,0,664.89,190.0,-0.14,5027.67,493.506,0.0,1,1,0,30.0,100,1
350,200,sweep_20260731_155129,map,1,1,347.97,99.4,204.61,-4124.17,183.209,6.973,0,0,1,30.0,0,1
350,200,sweep_20260731_155129,map,2,0,350.86,100.2,192.15,-3961.06,188.115,6.449,0,0,1,30.0,0,1
350,200,sweep_20260731_155129,map,3,0,345.78,98.8,195.35,-3932.38,189.145,6.631,0,0,1,30.0,0,1
350,200,sweep_20260731_155129,map,4,0,351.76,100.5,209.53,-3939.72,188.862,7.273,0,0,1,30.0,0,1
350,200,sweep_20260731_155129,map,5,0,351.1,100.3,203.7,-3910.45,190.065,6.67,0,0,1,30.0,0,1
350,200,sweep_20260731_155129,map,6,0,348.67,99.6,195.09,-3944.34,188.644,6.611,0,0,1,30.0,0,1
450,200,sweep_20260731_155129,map,1,1,446.47,99.2,344.94,-4101.57,183.903,11.198,0,0,1,30.0,0,1
450,200,sweep_20260731_155129,map,2,0,447.19,99.4,369.83,-3922.19,189.653,11.649,0,0,1,30.0,0,1
450,200,sweep_20260731_155129,map,3,0,445.23,98.9,343.51,-3962.99,188.149,11.078,0,0,1,30.0,0,1
450,200,sweep_20260731_155129,map,4,0,448.49,99.7,362.2,-3918.31,189.799,11.413,0,0,1,30.0,0,1
450,200,sweep_20260731_155129,map,5,0,448.24,99.6,344.7,-3914.01,189.82,10.724,0,0,1,30.0,0,1
450,200,sweep_20260731_155129,map,6,0,443.96,98.7,339.88,-3928.99,189.137,11.043,0,0,1,30.0,0,1
550,200,sweep_20260731_155129,map,1,1,546.75,99.4,532.84,-4101.5,183.795,17.091,0,0,1,30.0,0,1
550,200,sweep_20260731_155129,map,2,0,548.23,99.7,568.83,-3896.99,190.445,17.568,0,0,1,30.0,0,1
550,200,sweep_20260731_155129,map,3,0,547.87,99.6,529.96,-3947.11,188.466,16.888,0,0,1,30.0,0,1
550,200,sweep_20260731_155129,map,4,0,544.86,99.1,546.34,-3908.91,189.692,17.225,0,0,1,30.0,0,1
550,200,sweep_20260731_155129,map,5,0,547.3,99.5,551.35,-3932.22,189.038,17.925,0,0,1,30.0,0,1
550,200,sweep_20260731_155129,map,6,0,547.1,99.5,552.96,-3908.62,190.022,17.511,0,0,1,30.0,0,1
650,200,sweep_20260731_155129,map,1,1,646.16,99.4,781.15,-4097.51,183.853,24.669,0,0,1,30.0,0,1
650,200,sweep_20260731_155129,map,2,0,645.66,99.3,824.52,-3913.48,189.863,26.443,0,0,1,30.0,0,1
650,200,sweep_20260731_155129,map,3,0,647.71,99.6,852.89,-3863.05,191.402,27.006,0,0,1,30.0,0,1
650,200,sweep_20260731_155129,map,4,0,646.41,99.4,786.27,-3907.58,189.594,25.375,0,0,1,30.0,0,1
650,200,sweep_20260731_155129,map,5,0,644.34,99.1,793.21,-3936.81,188.904,25.126,0,0,1,30.0,0,1
650,200,sweep_20260731_155129,map,6,0,645.19,99.3,787.46,-3921.93,189.22,25.452,0,0,1,30.0,0,1
750,200,sweep_20260731_155129,map,1,1,746.11,99.5,1099.54,-4067.85,184.657,35.321,0,0,1,30.0,0,1
750,200,sweep_20260731_155129,map,2,0,745.68,99.4,1176.69,-3903.51,190.01,38.027,0,0,1,30.0,0,1
750,200,sweep_20260731_155129,map,3,0,745.07,99.3,1157.61,-3853.75,191.622,37.454,0,0,1,30.0,0,1
750,200,sweep_20260731_155129,map,4,0,745.1,99.3,1157.13,-3868.2,190.931,37.214,0,0,1,30.0,0,1
750,200,sweep_20260731_155129,map,5,0,743.97,99.2,1129.04,-3822.33,192.393,36.406,0,0,1,30.0,0,1
750,200,sweep_20260731_155129,map,6,0,745.28,99.4,1132.35,-3861.66,191.122,36.001,0,0,1,30.0,0,1
850,200,sweep_20260731_155129,map,1,1,845.39,99.5,1533.37,-4059.41,184.984,49.028,0,0,1,30.0,0,1
850,200,sweep_20260731_155129,map,2,0,844.24,99.3,1649.12,-3871.74,190.79,53.583,0,0,1,30.0,0,1
850,200,sweep_20260731_155129,map,3,0,843.4,99.2,1642.68,-3836.51,191.683,53.24,0,0,1,30.0,0,1
850,200,sweep_20260731_155129,map,4,0,844.96,99.4,1629.29,-3873.82,190.832,51.917,0,0,1,30.0,0,1
850,200,sweep_20260731_155129,map,5,0,844.53,99.4,1694.62,-3816.19,192.634,54.232,0,0,1,30.0,0,1
850,200,sweep_20260731_155129,map,6,0,844.54,99.4,1626.38,-3859.84,191.036,52.487,0,0,1,30.0,0,1
950,200,sweep_20260731_155129,map,1,1,943.76,99.3,2293.3,-4035.89,185.713,73.693,0,0,1,30.0,0,1
950,200,sweep_20260731_155129,map,2,0,944.15,99.4,2519.08,-3778.77,193.696,80.235,0,0,1,30.0,0,1
950,200,sweep_20260731_155129,map,3,0,943.73,99.3,2493.94,-3804.8,192.681,79.16,0,0,1,30.0,0,1
950,200,sweep_20260731_155129,map,4,0,943.05,99.3,2369.26,-3790.68,193.053,75.7,0,0,1,30.0,0,1
950,200,sweep_20260731_155129,map,5,0,941.93,99.2,2502.77,-3737.96,194.677,79.796,0,0,1,30.0,0,1
950,200,sweep_20260731_155129,map,6,0,943.25,99.3,2594.69,-3716.74,195.72,81.753,0,0,1,30.0,0,1
150,300,sweep_20260731_155129,map,1,1,151.77,101.2,101.85,-4041.5,185.628,3.494,0,0,1,30.0,0,1
150,300,sweep_20260731_155129,map,2,0,150.3,100.2,48.19,-3860.72,191.267,1.999,0,0,1,30.0,0,1
150,300,sweep_20260731_155129,map,3,0,150.79,100.5,32.03,-3841.14,191.837,1.537,0,0,1,30.0,0,1
150,300,sweep_20260731_155129,map,4,0,148.52,99.0,41.59,-3826.51,192.308,1.879,0,0,1,30.0,0,1
150,300,sweep_20260731_155129,map,5,0,149.99,100.0,31.31,-3867.35,190.679,1.813,0,0,1,30.0,0,1
150,300,sweep_20260731_155129,map,6,0,150.92,100.6,24.58,-3852.93,191.27,1.405,0,0,1,30.0,0,1
250,300,sweep_20260731_155129,map,1,1,250.39,100.2,144.61,-4047.3,185.393,4.691,0,0,1,30.0,0,1
250,300,sweep_20260731_155129,map,2,0,249.31,99.7,144.24,-3843.28,191.78,4.97,0,0,1,30.0,0,1
250,300,sweep_20260731_155129,map,3,0,252.96,101.2,128.64,-3902.71,189.631,4.764,0,0,1,30.0,0,1
250,300,sweep_20260731_155129,map,4,0,254.07,101.6,134.05,-3870.98,190.796,4.754,0,0,1,30.0,0,1
250,300,sweep_20260731_155129,map,5,0,245.76,98.3,133.44,-3865.23,191.12,4.573,0,0,1,30.0,0,1
250,300,sweep_20260731_155129,map,6,0,249.7,99.9,135.48,-3906.0,189.616,5.033,0,0,1,30.0,0,1
350,300,sweep_20260731_155129,map,1,1,347.53,99.3,316.23,-4033.54,185.835,10.374,0,0,1,30.0,0,1
350,300,sweep_20260731_155129,map,2,0,349.75,99.9,273.08,-3899.46,189.814,8.815,0,0,1,30.0,0,1
350,300,sweep_20260731_155129,map,3,0,349.89,100.0,273.76,-3908.7,189.524,8.763,0,0,1,30.0,0,1
350,300,sweep_20260731_155129,map,4,0,348.89,99.7,281.74,-3915.37,189.274,9.235,0,0,1,30.0,0,1
350,300,sweep_20260731_155129,map,5,0,350.4,100.1,295.86,-3893.94,190.155,9.66,0,0,1,30.0,0,1
350,300,sweep_20260731_155129,map,6,0,348.14,99.5,269.44,-3899.95,189.813,8.695,0,0,1,30.0,0,1
450,300,sweep_20260731_155129,map,1,1,447.7,99.5,504.49,-4065.59,184.838,15.942,0,0,1,30.0,0,1
450,300,sweep_20260731_155129,map,2,0,448.46,99.7,471.15,-3948.67,188.058,15.691,0,0,1,30.0,0,1
450,300,sweep_20260731_155129,map,3,0,447.07,99.3,527.71,-3864.07,191.218,16.995,0,0,1,30.0,0,1
450,300,sweep_20260731_155129,map,4,0,443.79,98.6,487.94,-3894.44,189.876,16.189,0,0,1,30.0,0,1
450,300,sweep_20260731_155129,map,5,0,448.54,99.7,500.97,-3931.45,188.848,16.312,0,0,1,30.0,0,1
450,300,sweep_20260731_155129,map,6,0,447.04,99.3,512.2,-3879.88,190.673,16.565,0,0,1,30.0,0,1
550,300,sweep_20260731_155129,map,1,1,547.23,99.5,783.11,-4052.75,185.202,25.491,0,0,1,30.0,0,1
550,300,sweep_20260731_155129,map,2,0,548.26,99.7,845.71,-3889.46,190.224,27.062,0,0,1,30.0,0,1
550,300,sweep_20260731_155129,map,3,0,547.59,99.6,822.06,-3889.67,190.229,26.338,0,0,1,30.0,0,1
550,300,sweep_20260731_155129,map,4,0,547.83,99.6,848.87,-3854.64,191.366,27.295,0,0,1,30.0,0,1
550,300,sweep_20260731_155129,map,5,0,548.04,99.6,820.36,-3886.83,190.092,26.818,0,0,1,30.0,0,1
550,300,sweep_20260731_155129,map,6,0,546.98,99.5,819.24,-3876.18,190.334,26.431,0,0,1,30.0,0,1
650,300,sweep_20260731_155129,map,1,1,647.53,99.6,1239.39,-4049.36,185.329,39.322,0,0,1,30.0,0,1
650,300,sweep_20260731_155129,map,2,0,648.21,99.7,1366.45,-3819.22,192.457,43.444,0,0,1,30.0,0,1
650,300,sweep_20260731_155129,map,3,0,647.22,99.6,1260.15,-3897.52,189.812,40.468,0,0,1,30.0,0,1
