wall_us,step,phase,fw_t_us,src,seq,hw_us,raw_code,voltage_V,stage_mm
308773921000,1,static,12902000,2,,,69180,0.04123400,9.999960
308773921000,1,static,12903000,1,,,2129416010,4.95793300,9.999960
308773921000,1,static,12904000,2,,,69180,0.04123400,9.999960
308773921000,1,static,12905000,1,,,2129339062,4.95775400,9.999960
308773921000,1,static,12906000,2,,,68900,0.04106800,9.999960
308773921000,1,static,12907000,1,,,2129517211,4.95816900,9.999960
308773921000,1,static,12908000,2,,,69370,0.04134800,9.999960
308773921000,1,static,12909000,1,,,2129497968,4.95812400,9.999960
308773937000,1,static,12910000,2,,,68440,0.04079300,9.999960
308773937000,1,static,12911000,1,,,2129076446,4.95714200,9.999960
308773937000,1,static,12912000,2,,,68410,0.04077600,9.999960
308773937000,1,static,12913000,1,,,2129076446,4.95714200,9.999960
308773937000,1,static,12914000,2,,,68410,0.04077600,9.999960
308773937000,1,static,12915000,1,,,2129083619,4.95715900,9.999960
308773937000,1,static,12916000,2,,,67820,0.04042400,9.999960
308773937000,1,static,12917000,1,,,2129359014,4.95780000,9.999960
308773937000,1,static,12918000,2,,,68750,0.04097800,9.999960
308773937000,1,static,12919000,1,,,2129247322,4.95754100,9.999960
308773937000,1,static,12920000,2,,,69110,0.04119300,9.999960
308773937000,1,static,12921000,1,,,2129435959,4.95797900,9.999960
308773937000,1,static,12922000,2,,,69570,0.04146700,9.999960
308773937000,1,static,12923000,1,,,2129524084,4.95818500,9.999960
308773937000,1,static,12924000,2,,,69570,0.04146700,9.999960
308773937000,1,static,12925000,1,,,2129524084,4.95818500,9.999960
308773953000,1,static,12926000,2,,,69580,0.04147300,9.999960
308773953000,1,static,12927000,1,,,2129091333,4.95717700,9.999960
308773953000,1,static,12928000,2,,,68030,0.04054900,9.999960
308773953000,1,static,12929000,1,,,2129006707,4.95698000,9.999960
308773953000,1,static,12930000,2,,,67650,0.04032300,9.999960
308773953000,1,static,12931000,1,,,2129329093,4.95773100,9.999960
308773953000,1,static,12932000,2,,,67940,0.04049500,9.999960
308773953000,1,static,12933000,1,,,2129240305,4.95752400,9.999960
308773953000,1,static,12934000,2,,,67940,0.04049500,9.999960
308773953000,1,static,12935000,1,,,2129240305,4.95752400,9.999960
308773953000,1,static,12936000,2,,,68980,0.04111500,9.999960
308773953000,1,static,12937000,1,,,2129387717,4.95786700,9.999960
308773953000,1,static,12938000,2,,,69520,0.04143700,9.999960
308773953000,1,static,12939000,1,,,2129419029,4.95794000,9.999960
308773953000,1,static,12940000,2,,,69540,0.04144900,9.999960
308773953000,1,static,12941000,1,,,2128991867,4.95694500,9.999960
308773968000,1,static,12942000,2,,,69010,0.04113300,9.999960
308773968000,1,static,12943000,1,,,2128952994,4.95685500,9.999960
308773968000,1,static,12944000,2,,,67900,0.04047200,9.999960
308773968000,1,static,12945000,1,,,2128952994,4.95685500,9.999960
308773968000,1,static,12946000,2,,,67900,0.04047200,9.999960
308773968000,1,static,12947000,1,,,2129313459,4.95769400,9.999960
308773968000,1,static,12948000,2,,,67710,0.04035800,9.999960
308773968000,1,static,12949000,1,,,2129236008,4.95751400,9.999960
308773968000,1,static,12950000,2,,,67430,0.04019100,9.999960
308773968000,1,static,12951000,1,,,2129377904,4.95784400,9.999960
308773968000,1,static,12952000,2,,,68630,0.04090700,9.999960
308773968000,1,static,12953000,1,,,2129499462,4.95812700,9.999960
308773968000,1,static,12954000,2,,,68710,0.04095400,9.999960
308773968000,1,static,12955000,1,,,2129499462,4.95812700,9.999960
308773968000,1,static,12956000,2,,,68710,0.04095400,9.999960
308773984000,1,static,12957000,1,,,2129083966,4.95716000,9.999960
308773984000,1,static,12958000,2,,,69320,0.04131800,9.999960
308773984000,1,static,12959000,1,,,2128971151,4.95689700,9.999960
308773984000,1,static,12960000,2,,,68460,0.04080500,9.999960
308773984000,1,static,12961000,1,,,2129295758,4.95765300,9.999960
308773984000,1,static,12962000,2,,,67890,0.04046600,9.999960
308773984000,1,static,12963000,1,,,2129239382,4.95752200,9.999960
308773984000,1,static,12964000,2,,,67860,0.04044800,9.999960
308773984000,1,static,12965000,1,,,2129360994,4.95780500,9.999960
308773984000,1,static,12966000,2,,,67860,0.04044800,9.999960
308773984000,1,static,12967000,1,,,2129360994,4.95780500,9.999960
308773984000,1,static,12968000,2,,,68670,0.04093100,9.999960
308773984000,1,static,12969000,1,,,2129511251,4.95815500,9.999960
