wall_us,step,phase,stage_mm,set_vel_mm_s
308849265000,2,ramp_fwd,11.249422,0.1000
308849296000,2,ramp_fwd,11.252597,0.1000
308849328000,2,ramp_fwd,11.255772,0.1000
308849359000,2,ramp_fwd,11.258947,0.1000
308849390000,2,ramp_fwd,11.262221,0.1000
308849421000,2,ramp_fwd,11.265396,0.1000
308849453000,2,ramp_fwd,11.268571,0.1000
308849484000,2,ramp_fwd,11.271746,0.1000
308849515000,2,ramp_fwd,11.275020,0.1000
308849546000,2,ramp_fwd,11.278096,0.1000
308849578000,2,ramp_fwd,11.281370,0.1000
308849609000,2,ramp_fwd,11.284545,0.1000
308849640000,2,ramp_fwd,11.287720,0.1000
308849671000,2,ramp_fwd,11.290995,0.1000
308849703000,2,ramp_fwd,11.294070,0.1000
308849734000,2,ramp_fwd,11.297345,0.1000
308849765000,2,ramp_fwd,11.300520,0.1000
308849796000,2,ramp_fwd,11.303695,0.1000
308849828000,2,ramp_fwd,11.306969,0.1000
308849859000,2,ramp_fwd,11.310144,0.1000
308849890000,2,ramp_fwd,11.313319,0.1000
308849921000,2,ramp_fwd,11.316494,0.1000
308849953000,2,ramp_fwd,11.319768,0.1000
308849984000,2,ramp_fwd,11.322943,0.1000
308850015000,2,ramp_fwd,11.326118,0.1000
308850046000,2,ramp_fwd,11.329293,0.1000
308850078000,2,ramp_fwd,11.332468,0.1000
308850109000,2,ramp_fwd,11.335742,0.1000
308850140000,2,ramp_fwd,11.338917,0.1000
308850171000,2,ramp_fwd,11.342092,0.1000
308850203000,2,ramp_fwd,11.345267,0.1000
308850234000,2,ramp_fwd,11.348442,0.1000
308850265000,2,ramp_fwd,11.351617,0.1000
308850296000,2,ramp_fwd,11.354891,0.1000
308850328000,2,ramp_fwd,11.358066,0.1000
308850359000,2,ramp_fwd,11.361241,0.1000
308850390000,2,ramp_fwd,11.361241,0.1000
308850421000,2,ramp_fwd,11.364516,0.1000
308850453000,2,ramp_fwd,11.367691,0.1000
308850484000,2,ramp_fwd,11.370866,0.1000
308850515000,2,ramp_fwd,11.374041,0.1000
308850546000,2,ramp_fwd,11.377315,0.1000
308850578000,2,ramp_fwd,11.380391,0.1000
308850609000,2,ramp_fwd,11.383665,0.1000
308850640000,2,ramp_fwd,11.386840,0.1000
308850671000,2,ramp_fwd,11.390015,0.1000
308850703000,2,ramp_fwd,11.393190,0.1000
308850734000,2,ramp_fwd,11.396464,0.1000
308850765000,2,ramp_fwd,11.399639,0.1000
308850796000,2,ramp_fwd,11.402814,0.1000
308850828000,2,ramp_fwd,11.405989,0.1000
308850859000,2,ramp_fwd,11.409164,0.1000
308850890000,2,ramp_fwd,11.412438,0.1000
308850921000,2,ramp_fwd,11.415613,0.1000
308850953000,2,ramp_fwd,11.418788,0.1000
308850984000,2,ramp_fwd,11.421963,0.1000
308851015000,2,ramp_fwd,11.425237,0.1000
308851046000,2,ramp_fwd,11.428412,0.1000
308851078000,2,ramp_fwd,11.431587,0.1000
308851109000,2,ramp_fwd,11.434762,0.1000
308851140000,2,ramp_fwd,11.437937,0.1000
308851171000,2,ramp_fwd,11.441212,0.1000
308851203000,2,ramp_fwd,11.444387,0.1000
308851234000,2,ramp_fwd,11.447562,0.1000
308851265000,2,ramp_fwd,11.450737,0.1000
308851296000,2,ramp_fwd,11.454011,0.1000
308851328000,2,ramp_fwd,11.457186,0.1000
308851359000,2,ramp_fwd,11.460361,0.1000
308851390000,2,ramp_fwd,11.463536,0.1000
308851421000,2,ramp_fwd,11.466711,0.1000
308851453000,2,ramp_fwd,11.469985,0.1000
308851484000,2,ramp_fwd,11.473160,0.1000
308851515000,2,ramp_fwd,11.476335,0.1000
308851546000,2,ramp_fwd,11.479510,0.1000
308851578000,2,ramp_fwd,11.482685,0.1000
308851609000,2,ramp_fwd,11.485860,0.1000
308851640000,2,ramp_fwd,11.489134,0.1000
308851671000,2,ramp_fwd,11.492309,0.1000
308851703000,2,ramp_fwd,11.495484,0.1000
