=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 18:54:53 =~=~=~=~=~=~=~=~=~=~=~=
── Commands ────────────────────────────────
  a  10 Hz  sine @ 400 SPS  (4000 samples)
  b  50 Hz  sine @ 400 SPS  (4000 samples)
  c  100 Hz sine @ 400 SPS  (4000 samples)
  d  100 Hz sine @ 1200 SPS (4000 samples)
  e  100 Hz sine @ 2400 SPS (4000 samples)
  r  Single reading
  h  Help
────────────────────────────────────────────
Waveform gen: 2.0Vpp sine, 1.2V offset
AIN0 = signal, AIN1 = GND
CSV output between CSV_START/CSV_END markers
Paste into Python script for amplitude/frequency analysis


══ Test C: 100 Hz @ 2400 SPS
   Signal: 2.0Vpp sine, 1.2V offset, 100 Hz
   Collecting 4000 samples at 400 SPS (poll mode)...

── CSV_START ────────────────────────────────
index,time_ms,voltage_V
  Sanity check: 1.8005 V  (should be ~1.2V if generator connected)

740,897,1.767242
741,898,2.175148
742,899,2.130638
743,900,1.836230
744,901,1.112066
745,903,0.221439
746,904,0.265854
747,906,1.284291
748,907,1.958045
749,908,2.175383
750,909,2.130706
751,910,1.618491
752,912,0.629950
753,913,0.221625
754,915,0.559707
755,916,1.283380
756,917,1.766227
757,918,2.174846
758,919,2.130540
759,921,1.112841
760,922,0.439264
761,924,0.265886
762,925,0.777898
763,926,1.283082
764,927,1.765827
765,928,2.174775
766,929,2.130767
767,930,1.837303
768,931,1.113538
769,933,0.221544
770,934,0.265385
771,935,0.559098
772,936,1.282444
773,937,1.956607
774,938,2.174366
775,939,2.130963
776,940,1.619777
777,942,0.631193
778,943,0.221626
779,944,0.265370
780,945,0.776627
781,946,1.281932
782,947,1.765288
783,948,2.174840
784,949,2.131181
785,951,1.114878
786,952,0.440291
787,953,0.222012
788,954,0.264982
789,955,0.558134
790,956,1.281779
791,957,1.956569
792,959,2.131319
793,960,1.620534
794,962,0.632291
795,963,0.222458
796,965,0.557884
797,966,1.280750
798,968,2.174402
799,969,2.131577
800,971,1.115226
801,972,0.440821
802,973,0.222229
803,974,0.265000
804,976,1.280399
805,977,1.955549
806,978,2.174465
807,979,2.131847
808,980,1.621734
809,981,1.116059
810,982,0.632790
811,983,0.222287
812,985,0.557375
813,986,1.280138
814,987,1.763515
815,988,2.174168
816,989,2.131962
817,990,1.839912
818,991,1.116791
819,992,0.633244
820,993,0.222182
821,995,0.556961
822,996,1.280054
823,998,2.174356
824,999,2.132261
825,1000,1.840105
826,1001,1.117017
827,1002,0.441708
828,1003,0.221963
829,1004,0.263955
830,1006,1.278914
831,1007,1.954715
832,1008,2.174421
833,1009,2.132430
834,1011,1.117997
835,1012,0.442354
836,1014,0.264130
837,1015,0.773472
838,1016,1.278598
839,1017,1.762287
840,1018,2.174334
841,1020,1.841058
842,1021,1.118073
843,1022,0.634528
844,1023,0.222748
845,1024,0.263926
846,1025,0.555523
847,1026,1.277987
848,1028,2.174036
849,1029,2.132713
850,1030,1.841294
851,1031,1.118554
852,1032,0.442678
853,1033,0.222381
854,1034,0.263486
855,1035,0.772469
856,1037,1.761322
857,1038,2.173794
858,1040,1.841874
859,1041,1.119644
860,1042,0.635574
861,1043,0.222492
862,1044,0.263621
863,1046,1.277260
864,1047,1.953530
865,1049,2.132991
866,1050,1.624560
867,1052,0.635882
868,1053,0.222701
869,1054,0.263073
870,1055,0.554206
871,1056,1.276631
872,1057,1.760546
873,1058,2.173467
874,1059,2.133136
875,1060,1.625259
876,1061,1.120485
877,1063,0.222880
878,1064,0.263345
879,1066,1.275689
880,1067,1.952282
881,1068,2.173398
882,1069,2.133180
883,1071,1.120319
884,1072,0.443938
885,1073,0.223020
886,1074,0.263246
887,1075,0.771101
888,1076,1.275671
889,1077,1.759801
890,1078,2.173524
891,1080,1.843259
892,1081,1.121148
893,1082,0.636808
894,1083,0.222944
895,1084,0.262746
896,1085,0.770308
897,1086,1.274820
898,1087,1.759068
899,1088,2.173208
900,1089,2.133404
901,1090,1.626696
902,1091,1.121801
903,1093,0.222928
904,1094,0.262630
905,1095,0.552927
906,1096,1.274293
907,1098,2.173173
908,1099,2.133847
909,1100,1.843750
910,1101,1.122111
911,1102,0.637736
912,1103,0.223159
913,1104,0.379557
914,1106,1.273891
915,1107,1.951313
916,1109,2.133973
917,1110,1.627397
918,1111,1.122661
919,1112,0.638295
920,1113,0.223320
921,1115,0.768555
922,1116,1.273198
923,1117,1.757840
924,1118,2.172917
925,1120,1.628083
926,1121,1.123319
927,1123,0.223819
928,1124,0.262650
929,1126,1.272950
930,1127,1.950247
931,1128,2.172942
932,1129,2.134479
933,1131,1.123389
