sweep,level_mA,heat_ms,cycle,V_on,I_on,R_on,V1,I1,R1,V2,I2,R2,step_ohm,geom,V_off
sweep_20260731_145838,750,100,6,3.3681771346153844,0.7692020192307691,4.378793932423225,3.2812892018518514,0.7444427388888889,4.407712011200901,0.502953588607595,0.10274787658227848,4.895026596533502,0.4873145853326015,8.389274569509416,0.05808780977365227
sweep_20260731_145838,850,100,2,3.8060774629629632,0.8643883333333333,4.403203185639514,3.726424136363637,0.8453476477272727,4.408155800021651,0.5237038301282052,0.10893829166666667,4.807343883550636,0.39918808352898427,7.996563467279151,0.04991995438570672
sweep_20260731_145838,850,100,3,3.779458046875,0.86658496875,4.361324259208714,3.7335962912087908,0.8451552967032968,4.417645260903477,0.5054983025477707,0.10995352229299364,4.597381620943139,0.1797363600396622,7.91153734952168,0.022718259688242443
sweep_20260731_145838,850,100,4,4.979894233333334,1.1261728444444443,4.421962630247918,4.989141494382022,1.1448950505617976,4.357728240622457,0.5240277689873418,0.11032889240506329,4.74968757107991,0.39195933045745335,8.19036642383165,0.047856141004505345
sweep_20260731_145838,850,100,5,3.86040990625,0.86531625,4.461270554262676,3.7135557252747255,0.8474236373626375,4.382171515574076,0.5021934679487179,0.11309617628205128,4.440410670439418,0.05823915486534137,7.661984584435942,0.0076010535160361435
sweep_20260731_145838,850,100,6,3.858227999999999,0.8820968548387099,4.37392785025344,3.7460150494505493,0.847296032967033,4.421140786335183,0.5141627806451613,0.10868967419354839,4.730557750403865,0.30941696406868235,8.020280957478146,0.03857931732181782
sweep_20260731_145838,950,100,2,4.3129238125,0.9663146874999999,4.463270473160432,4.147484011363637,0.9437741704545455,4.394572495416042,0.5264082848101266,0.10808488924050631,4.870322655730194,0.47575016031415274,8.192411578999844,0.0580720531099383
sweep_20260731_145838,950,100,3,4.244898285714286,0.9587236071428572,4.427655952235005,4.164045278409091,0.9486420284090911,4.389480071204893,0.5339706360759493,0.1104765411392405,4.833339553986875,0.4438594827819813,7.997556996356153,0.055499383497262036
sweep_20260731_145838,950,100,4,4.2153689,0.9634035833333333,4.375496388974402,4.130207350574713,0.9493120229885056,4.350737429378077,0.5167224177215191,0.11007971202531647,4.694074940918102,0.34333751154002545,8.030931657830902,0.042751890586098906
sweep_20260731_145838,950,100,5,4.25851424137931,0.964591528735632,4.414836865674415,4.133540825842696,0.9461537134831461,4.368783599258502,0.5036224088050315,0.11198304716981133,4.497309383279573,0.12852578402107095,7.873012385103457,0.016324854799448157
sweep_20260731_145838,950,100,6,4.265489222222222,0.9641880111111111,4.42391854396401,4.119424730337079,0.9463264550561798,4.353069396218586,0.5129647628205128,0.10576497115384616,4.850043991165584,0.49697459494699814,8.398208440428062,0.05917626342240048
sweep_20260731_155129,250,300,2,1.172548875,0.25918665625000004,4.523955407137206,1.125299172222222,0.24965160555555552,4.50747821035666,0.5111409496855346,0.11015319182389939,4.64027361551801,0.13279540516135047,5.072684126543092,0.026178528338969904
sweep_20260731_155129,250,300,3,1.191288931034483,0.2601660172413793,4.5789567125871695,1.1314198314606743,0.2547315561797753,4.441616297676843,0.4915253955696202,0.10901196835443039,4.508912213854581,0.06729591617773778,5.247603389645742,0.012824123924937226
