level_mA,heat_ms,sweep,run_type,cycle,bootstrap,i_mA,cc_pct,u_V,R_ohm,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,cool_s,i_low_mA,seeded
450,400,sweep_20260805_105318,map,2,0,450.95648362720397,100.2,1.7288738916876574,3.8337931806229006,1.7276025,454.543,3.800746024028529,0.7852696231575,3.9922934277388435,1261.917987,1262.317987,2026-08-05T16:25:51.334145+00:00,268.33515594713936,-4376.029561113491,3.174908122340425,3.387034,0.2121258776595747,311.23910063010595,20.794890698905967,0,0,0,397,30.0,0,1
450,400,sweep_20260805_105318,map,3,0,448.1974552429667,99.6,1.7388432736572892,3.8796366496875057,1.735641,447.653,3.8772017611855607,0.776964900573,4.021809722289537,1293.295541,1293.695541,2026-08-05T16:26:22.690390+00:00,261.77834740144954,-4371.230501530555,3.179305984126984,3.383452,0.20414601587301595,311.67022697908993,20.012617666144866,0,0,0,391,30.0,0,1
450,400,sweep_20260805_105318,map,4,0,450.2909345088161,100.1,1.7313820705289673,3.8450298192602608,1.6912025,448.38500000000005,3.771764220480167,0.7583098329625,3.9864579300554905,1324.665124,1325.065124,2026-08-05T16:26:54.038670+00:00,274.284928951407,-4361.223834365584,3.1856032275132273,3.400904,0.21530077248677282,312.28755141572225,21.106128496201308,0,0,0,397,30.0,0,1
450,400,sweep_20260805_105318,map,5,0,450.76723056994814,100.2,1.731213279792746,3.840592577246148,1.721064,449.79800000000006,3.826304252130956,0.774131145072,4.0090711700844395,1356.048165,1356.448165,2026-08-05T16:27:25.400399+00:00,256.77493902113565,-4378.599636992058,3.172270867724868,3.372842,0.2005711322751318,310.98056818663053,19.66216860967183,0,0,0,386,30.0,0,1
450,400,sweep_20260805_105318,map,6,0,448.7353469387756,99.7,1.7213943775510205,3.8361015892645596,1.694022,451.082,3.755463529912521,0.7641428318039999,3.978169138844599,1387.434534,1387.834534,2026-08-05T16:27:56.765454+00:00,249.70485573604765,-4384.49270120027,3.169609324468085,3.364861,0.1952516755319147,310.71965470579613,19.140697477657092,0,0,0,392,30.0,0,1
550,400,sweep_20260805_105318,map,1,1,550.4132506329114,100.1,2.110423265822785,3.834252288432452,2.0765710000000004,547.2170000000001,3.7947852497272567,1.1363349529070004,4.103079173953988,1443.661709,1444.061709,2026-08-05T16:28:52.731690+00:00,419.507412620937,-4423.904435600236,3.139939069148937,3.468651,0.3287119308510631,307.8110528738194,32.22392641997236,0,0,1,395,30.0,0,1
550,400,sweep_20260805_105318,map,2,0,550.983443324937,100.2,2.1053264861460956,3.8210340286114555,2.0918555000000003,548.579,3.8132256247504928,1.1475479983345,3.991150655284357,1475.048667,1475.448667,2026-08-05T16:29:24.096747+00:00,441.55127991821655,-4381.612682004832,3.171480260638298,3.508449,0.33696873936170224,310.9030642623927,33.03334878934535,0,0,1,397,30.0,0,1
550,400,sweep_20260805_105318,map,3,0,548.4400642673521,99.7,2.0890062056555267,3.8089963548636434,2.0930910000000003,544.6075000000001,3.843301827462898,1.1399130567825002,4.002909061606028,1506.425969,1506.825969,2026-08-05T16:29:55.452156+00:00,429.948078325559,-4385.373210774606,3.167704687830688,3.498906,0.3312013121693118,310.5329414620713,32.4679627110276,0,0,1,389,30.0,0,1
550,400,sweep_20260805_105318,map,4,0,549.8193756345178,100.0,2.1153984517766498,3.8474425338964804,2.123529,552.3639999999999,3.8444377258474485,1.172960972556,3.9909484454939,1537.811715,1538.211715,2026-08-05T16:30:26.816002+00:00,432.51293740896153,-4379.189502163398,3.172838079787234,3.510499,0.3376609202127656,311.03617249559153,33.101203901133445,0,0,1,394,30.0,0,1
550,400,sweep_20260805_105318,map,5,0,550.9932824427482,100.2,2.109978572519084,3.829408887100769,2.095119,550.7230000000001,3.8043063391214815,1.1538302210370002,3.969206952699505,1569.188555,1569.588555,2026-08-05T16:30:58.170949+00:00,439.2875968624776,-4361.381791265832,3.186922207446808,3.521687,0.3347647925531918,312.41685220568473,32.81729390016899,0,0,1,393,30.0,0,1
