level_mA,heat_ms,sweep,run_type,cycle,bootstrap,i_mA,cc_pct,u_V,R_ohm,v_hot_V,i_hot_mA,r_hot_ohm,p_hot_W,r_base_ohm,t_heat_start_s,t_heat_end_s,t_pulse_utc,dx_um,x_base_um,baseline_V,peak_V,rise_V,F_base_mN,dF_mN,clipped,railed,detect_ok,n_samples,cool_s,i_low_mA,seeded
150,300,sweep_20260731_155129,map,1,1,152.09605841924397,101.4,0.7115215429553264,4.678106391120659,0.716221,150.7835,4.749995854984133,0.10799430915350001,4.724573984115969,1502.236521,1502.536521,2026-07-31T20:16:29.556095+00:00,101.3722997972086,-4041.0299218363825,1.8596266719576717,1.895022,0.035395328042328256,182.30087630416256,3.4698358635590765,0,0,0,291,30.0,0,1
150,300,sweep_20260731_155129,map,2,0,150.49639999999997,100.3,0.6981788689655172,4.639173222519059,0.685124,155.996,4.3919331264904224,0.106876603504,4.707665370748651,1533.497048,1533.797048,2026-07-31T20:17:00.794424+00:00,48.11062559471293,-3860.6478426476583,1.9169596402116404,1.9373,0.020340359788359574,187.9212787814051,1.9939837762470545,0,0,0,290,30.0,0,1
150,300,sweep_20260731_155129,map,3,0,151.17711111111112,100.8,0.7035256599326599,4.653651963329207,0.6959455,153.687,4.528330307703318,0.10695777605850001,4.724410342772265,1564.77423,1565.07423,2026-07-31T20:17:32.049396+00:00,32.08823211537219,-3841.204367472812,1.9227178510638299,1.938403,0.015685148936170235,188.4857613735983,1.5376292667468376,0,0,0,297,30.0,0,1
150,300,sweep_20260731_155129,map,4,0,148.97192783505153,99.3,0.6890288316151202,4.62522598471065,0.689323,156.446,4.40614013781113,0.10784182605800001,4.6645990086485565,1596.031257,1596.331257,2026-07-31T20:18:03.284227+00:00,41.576770936440425,-3826.490209718755,1.9275318404255317,1.946688,0.019156159574468257,188.95768108328568,1.8778955635066439,0,0,0,291,30.0,0,1
150,300,sweep_20260731_155129,map,5,0,150.51444368600684,100.3,0.691333976109215,4.593140426784752,0.688939,154.695,4.453531141924432,0.106575418605,4.714507728099011,1627.310699,1627.610699,2026-07-31T20:18:34.541458+00:00,31.347113071222793,-3867.3899536820672,1.9108276436170213,1.929408,0.018580356382978724,187.32015363647673,1.8214490584257228,0,0,0,293,30.0,0,1
150,300,sweep_20260731_155129,map,6,0,151.15165986394558,100.8,0.696616761904762,4.608727171979452,0.687775,153.86699999999996,4.4699318242378165,0.105825875925,4.7077713672599275,1658.57608,1658.87608,2026-07-31T20:19:05.784638+00:00,24.569024281452585,-3852.9239731432085,1.9169426137566137,1.931268,0.014325386243386307,187.91960966269514,1.4043305061954725,0,0,0,294,30.0,0,1
250,300,sweep_20260731_155129,map,1,1,250.98674576271185,100.4,1.1340772915254238,4.518474822561365,1.120306,246.424,4.546253611661202,0.276070285744,4.703888736209807,1713.901826,1714.201826,2026-07-31T20:20:02.051242+00:00,144.5057672048256,-4047.1903953474825,1.8570533244680854,1.904833,0.047779675531914645,182.04860873376205,4.683884593797036,0,0,1,295,30.0,0,1
250,300,sweep_20260731_155129,map,2,0,250.14558644067796,100.1,1.1448305593220338,4.576657040453242,1.118026,246.13299999999998,4.5423653065619,0.27518309345799996,4.73276089579249,1745.170979,1745.470979,2026-07-31T20:20:33.298433+00:00,144.15146442251807,-3843.190328736576,1.9222044761904762,1.972842,0.0506375238095238,188.43543477272934,4.964042032496296,0,0,1,295,30.0,0,1
250,300,sweep_20260731_155129,map,3,0,254.23603703703708,101.7,1.1537984511784511,4.538296240868347,1.1347505,254.135,4.465148444724261,0.2883798183175,4.716974023772299,1776.443795,1776.743795,2026-07-31T20:21:04.549284+00:00,128.72451366926816,-3902.788121425499,1.9001873723404257,1.94881,0.04862262765957426,186.27707826705574,4.76651994952305,0,0,1,297,30.0,0,1
250,300,sweep_20260731_155129,map,4,0,255.23389310344828,102.1,1.1483815103448276,4.499329992507616,1.126808,252.54,4.461899105092263,0.28456409232,4.730604325398703,1807.715724,1808.015724,2026-07-31T20:21:35.799249+00:00,134.06627022333623,-3871.0022021743275,1.912112978835979,1.960588,0.048475021164021026,187.44615620478467,4.752049951919062,0,0,1,290,30.0,0,1
