t_s,v_trig,v_dac,v_out
0.02938,0,0.28,0.64
0.02939,0,0.26,0.62
0.0294,0,0.26,0.64
0.02941,0,0.3,0.66
0.02942,0,0.28,0.64
0.02943,0,0.28,0.64
0.02944,0.04,0.28,0.66
0.02945,0,0.28,0.66
0.02946,0,0.28,0.66
0.02947,0,0.28,0.64
0.02948,0,0.28,0.64
0.02949,0,0.28,0.66
0.0295,0,0.28,0.64
0.02951,0,0.28,0.66
0.02952,0,0.28,0.64
0.02953,0,0.24,0.62
0.02954,0,0.28,0.64
0.02955,0,0.3,0.66
0.02956,0,0.28,0.64
0.02957,0,0.28,0.64
0.02958,0,0.28,0.64
0.02959,0,0.28,0.64
0.0296,0,0.28,0.64
0.02961,0,0.28,0.64
0.02962,0,0.28,0.66
0.02963,0,0.26,0.64
0.02964,0,0.26,0.64
0.02965,0,0.28,0.64
0.02966,0,0.28,0.66
0.02967,0,0.26,0.62
0.02968,0,0.26,0.64
0.02969,0,0.3,0.66
0.0297,0,0.28,0.64
0.02971,0,0.28,0.66
0.02972,0,0.28,0.66
0.02973,0,0.28,0.66
0.02974,0,0.26,0.64
0.02975,0,0.28,0.64
0.02976,0,0.28,0.66
0.02977,0,0.28,0.64
0.02978,0,0.28,0.64
0.02979,0,0.28,0.66
0.0298,0,0.28,0.64
0.02981,0,0.26,0.62
0.02982,0,0.28,0.64
0.02983,0,0.3,0.68
0.02984,0,0.28,0.64
0.02985,0,0.26,0.64
0.02986,0,0.28,0.64
0.02987,0,0.28,0.66
0.02988,0,0.28,0.64
0.02989,0,0.28,0.66
0.0299,0,0.28,0.64
0.02991,0,0.26,0.64
0.02992,0,0.26,0.64
0.02993,0,0.26,0.64
0.02994,0,0.28,0.66
0.02995,0,0.24,0.62
0.02996,0,0.26,0.64
0.02997,0,0.3,0.66
0.02998,0,0.28,0.64
0.02999,0,0.28,0.64
0.03,0,0.28,0.66
0.03001,0,0.28,0.64
0.03002,0,0.26,0.64
0.03003,0,0.26,0.66
0.03004,0,0.28,0.64
0.03005,0,0.3,0.66
0.03006,0,0.28,0.64
0.03007,0,0.26,0.62
0.03008,0,0.28,0.66
0.03009,0,0.26,0.62
0.0301,0,0.28,0.66
0.03011,0,0.28,0.64
0.03012,0,0.28,0.66
0.03013,0,0.28,0.64
0.03014,0,0.28,0.66
0.03015,0,0.28,0.66
0.03016,0,0.28,0.66
0.03017,0,0.28,0.64
0.03018,0,0.28,0.64
0.03019,0,0.28,0.64
0.0302,0,0.28,0.64
0.03021,0,0.28,0.66
0.03022,0,0.28,0.66
0.03023,0,0.26,0.64
0.03024,0,0.28,0.64
0.03025,0,0.28,0.66
0.03026,0,0.28,0.64
0.03027,0,0.26,0.64
0.03028,0,0.3,0.66
0.03029,0,0.28,0.66
0.0303,0,0.28,0.64
0.03031,0,0.26,0.64
0.03032,0,0.28,0.66
0.03033,0,0.28,0.66
0.03034,0,0.28,0.64
0.03035,0,0.28,0.64
0.03036,0,0.28,0.64
0.03037,0,0.28,0.64
0.03038,0,0.28,0.66
0.03039,0,0.28,0.66
0.0304,0,0.28,0.64
0.03041,0,0.28,0.64
0.03042,0,0.3,0.66
0.03043,0,0.28,0.66
0.03044,0,0.28,0.64
0.03045,0,0.28,0.66
0.03046,0,0.28,0.64
0.03047,0,0.28,0.66
0.03048,0,0.26,0.64
0.03049,0,0.28,0.64
0.0305,0,0.28,0.66
0.03051,0,0.26,0.64
0.03052,0,0.26,0.64
0.03053,0,0.28,0.66
0.03054,0,0.26,0.64
0.03055,0,0.28,0.66
0.03056,0,0.3,0.66
0.03057,0,0.26,0.64
0.03058,0,0.28,0.64
0.03059,0,0.28,0.64
0.0306,0,0.28,0.64
0.03061,0,0.3,0.66
0.03062,0,0.26,0.64
0.03063,0,0.26,0.64
0.03064,0,0.28,0.66
0.03065,0,0.26,0.64
0.03066,0,0.28,0.64
0.03067,0,0.28,0.66
0.03068,0,0.26,0.64
0.03069,0,0.28,0.66
0.0307,0,0.3,0.66
0.03071,0,0.28,0.64
0.03072,0,0.28,0.66
0.03073,0,0.28,0.64
0.03074,0,0.26,0.64
0.03075,0,0.28,0.66
0.03076,0,0.26,0.62
0.03077,0,0.28,0.64
0.03078,0,0.28,0.66
0.03079,0,0.26,0.64
0.0308,0,0.28,0.64
0.03081,0,0.28,0.64
0.03082,0.04,0.28,0.66
0.03083,0,0.28,0.66
0.03084,0,0.3,0.66
0.03085,0,0.28,0.66
0.03086,0,0.26,0.64
0.03087,0,0.28,0.64
0.03088,0,0.28,0.66
0.03089,0.04,0.28,0.66
0.0309,0,0.26,0.64
0.03091,0,0.28,0.64
0.03092,0,0.28,0.64
0.03093,0,0.28,0.66
0.03094,0,0.28,0.62
0.03095,0,0.28,0.66
0.03096,0,0.28,0.66
0.03097,0,0.28,0.64
0.03098,0,0.28,0.66
0.03099,0,0.28,0.64
0.031,0,0.28,0.64
0.03101,0,0.28,0.64
0.03102,0,0.26,0.64
0.03103,0,0.28,0.64
0.03104,0,0.26,0.64
0.03105,0,0.28,0.64
0.03106,0,0.28,0.66
0.03107,0,0.28,0.64
0.03108,0,0.26,0.64
0.03109,0,0.28,0.66
0.0311,0,0.3,0.66
0.03111,0,0.28,0.64
0.03112,0,0.3,0.66
0.03113,0,0.26,0.64
0.03114,0,0.28,0.66
0.03115,0,0.28,0.64
0.03116,0,0.28,0.64
0.03117,0,0.28,0.66
0.03118,0,0.24,0.62
0.03119,0,0.26,0.64
0.0312,0,0.28,0.64
0.03121,0,0.28,0.64
0.03122,0,0.28,0.66
0.03123,0,0.28,0.66
0.03124,0,0.26,0.64
0.03125,0,0.26,0.64
0.03126,0,0.28,0.64
0.03127,0,0.28,0.64
0.03128,0,0.28,0.66
0.03129,0,0.26,0.64
0.0313,0,0.28,0.62
0.03131,0,0.28,0.64
0.03132,0,0.24,0.62
0.03133,0,0.28,0.64
0.03134,0,0.28,0.64
0.03135,0,0.28,0.64
0.03136,0,0.28,0.64
0.03137,0,0.28,0.64
0.03138,0,0.28,0.66
0.03139,0,0.28,0.66
0.0314,0,0.28,0.66
0.03141,0,0.26,0.64
0.03142,0,0.28,0.64
0.03143,0,0.28,0.64
0.03144,0,0.28,0.66
0.03145,0,0.28,0.66
0.03146,0,0.24,0.62
0.03147,0,0.28,0.64
0.03148,0,0.28,0.64
0.03149,0,0.28,0.66
0.0315,0,0.28,0.64
0.03151,0,0.28,0.66
0.03152,0,0.28,0.64
0.03153,0,0.28,0.64
0.03154,0,0.28,0.64
0.03155,0,0.28,0.66
0.03156,0,0.28,0.66
0.03157,0,0.28,0.66
0.03158,0,0.28,0.64
0.03159,0,0.28,0.66
0.0316,0,0.24,0.64
0.03161,0,0.28,0.64
0.03162,0,0.28,0.66
0.03163,0,0.28,0.66
0.03164,0,0.26,0.64
0.03165,0,0.28,0.66
0.03166,0,0.28,0.66
0.03167,0,0.28,0.64
0.03168,0,0.28,0.66
0.03169,0,0.28,0.64
0.0317,0,0.28,0.64
0.03171,0,0.28,0.66
0.03172,0,0.26,0.64
0.03173,0,0.28,0.66
0.03174,0,0.26,0.62
0.03175,0,0.26,0.64
0.03176,0,0.28,0.66
0.03177,0,0.28,0.66
0.03178,0,0.28,0.64
0.03179,0,0.28,0.66
0.0318,0,0.28,0.64
0.03181,0,0.28,0.64
0.03182,0,0.3,0.66
0.03183,0,0.28,0.64
0.03184,0,0.28,0.66
0.03185,0,0.28,0.64
0.03186,0,0.28,0.64
0.03187,0,0.28,0.64
0.03188,0,0.24,0.62
0.03189,0,0.28,0.66
0.0319,0,0.28,0.66
0.03191,0,0.28,0.64
0.03192,0,0.28,0.64
0.03193,0,0.28,0.64
0.03194,0,0.28,0.66
0.03195,0,0.28,0.64
0.03196,0,0.26,0.64
0.03197,0,0.26,0.64
0.03198,0,0.28,0.66
0.03199,0,0.28,0.64
0.032,0,0.28,0.66
0.03201,0,0.28,0.66
0.03202,0,0.24,0.62
0.03203,0,0.28,0.64
0.03204,0,0.28,0.64
0.03205,0,0.28,0.64
0.03206,0,0.28,0.64
0.03207,0,0.28,0.64
0.03208,0,0.28,0.64
0.03209,0,0.28,0.66
0.0321,0,0.28,0.64
0.03211,0,0.28,0.64
0.03212,0,0.28,0.66
0.03213,0,0.26,0.62
0.03214,0,0.28,0.66
0.03215,0,0.28,0.66
0.03216,0,0.26,0.64
0.03217,0,0.28,0.64
0.03218,0,0.28,0.64
0.03219,0,0.28,0.66
0.0322,0,0.28,0.64
0.03221,0,0.28,0.64
0.03222,0,0.28,0.64
0.03223,0,0.28,0.64
0.03224,0,0.28,0.66
0.03225,0,0.28,0.66
